date time,attacker id,att name,att power,att team,defender id,def name,def power,def team,team,points,attacker pets,defender pets,comment,A flag/totem,D flag/totem,A flag desc/Totem skills,D flag desc/Totem skills,replay
12/03 15:11,61882212,Оди,1139988,Тен(293) Гип(212) Тид(191) Нов(212) Мор(231),37569005,riddick,1035278,Анг(213) Ава(213) Вер(185) Эде(213) Сил(212),35,,,,В6-130 Т6-130,Д6-130,ШГ5 ПД5 ГН5 ТК3,ГС1 ЭЭ1  ,https://www.hero-wars.com?replay_id=1773317512929143200,
12/03 12:43,61882137,G_G,997866,Ияр(194) Ара(199) Сол(206) Аше(199) Мол(201),37174511,un cigarro,1265309,Мол(242) Вул(225) Кер(255) Ара(225) Тен(318),35,,,,О6-130 С6-130,О6-130 Т6-130,ПВ2 ПР4 ЛП4 ТК5,ПВ5 ТК5 ЛП5 ПД5,https://www.hero-wars.com?replay_id=1773308596913379683,
12/03 11:37,61882140,ПасТырЪ,1039234,Игн(139) Ияр(221) Ара(196) Сол(289) Мол(194),37318466,Neo,1287586,Бру(270) Анг(240) Эде(223) Тен(315) Сил(240),35,,,,О6-130 С6-130,Д6-130 Т6-130,ПВ3 ПР3 ЛП3 ЗС3,ГС4 ЭЭ5 ГН5 ТК3,https://www.hero-wars.com?replay_id=1773304655136962817,
12/03 11:28,61958839,Бальдр,1121726,Игн(216) Ара(224) Аше(207) Вул(234) Мол(241),37685964,Rohan,1247436,Мол(238) Сол(315) Ара(221) Ияр(253) Игн(221),35,,,,О6-130,О6-130 С6-130,ТП5 ПД4  ,ПВ4 ЗС3 ЛП5 ЗС3,https://www.hero-wars.com?replay_id=1773304108633139335,
12/03 10:58,61883387,FEDOR,1043355,Гип(220) Маи(197) Тид(206) Нов(208) Сиг(212),37172373,Arashi,1228063,Бру(258) Мор(241) Тид(200) Гип(216) Тен(313),35,,,,В6-130,Т6-127 В6-113,ШГ4 ПД5  ,ГН4 ТК4 ШГ3 ПД5,https://www.hero-wars.com?replay_id=1773302307311383625,
12/03 10:57,61882140,ПасТырЪ,948743,Тен(303) Тид(130) Нов(66) Мор(209) Бру(240),37154511,Darth Revan,1235871,Риг(261) Мол(234) Вул(218) Сол(305) Ара(218),35,,,,Т6-130 В6-71,О6-130 С6-130,ГН5 ТК5 ШГ2 ПД1,ТП3 ЗС2 ГС2 ПР2,https://www.hero-wars.com?replay_id=1773302274719757411,
12/03 06:23,61882177,Rom,1005090,Гип(213) Маи(180) Тид(197) Нов(201) Сиг(215),37154511,Darth Revan,1234989,Бру(264) Анг(232) Ава(216) Эде(216) Тен(308),35,,,,В6-130,Д6-130 Т6-130,ГС4 ПД3  ,ГС2 ПР2 ЛП3 ПР2,https://www.hero-wars.com?replay_id=1773285801309338810,
12/03 06:20,61882177,Rom,843164,Сил(126) Эде(203) Вер(192) Ава(152) Анг(171),37293351,DNA,1294866,Бру(248) Мор(227) Сол(298) Ияр(217) Тен(305),35,,,,Д6-130,Т6-130 С6-130,ЛП3 ЭЭ4  ,ПВ5 ПД3 ЛП4 ТК3,https://www.hero-wars.com?replay_id=1773285613613392683,
