date time	level	week	attacker id	att name	att power	att team	damage	attacker patronage	comment	replay
15/08 16:34	140	33	55070191	-БигФут-	371225	Акс Фаф Без Эйд Хай Кир	57838	Оли(6508) Акс(6508) Мер(1758) Каи(6244) Аль(6508)		https://www.hero-wars.com?replay_id=1755264860441595923	
15/08 16:32	140	33	55070191	-БигФут-	506894	Акс Айз Сел Гус Гал Крв	1438884	Мар(967) Акс(6508) Фен(3619) Аль(6508) Оли(6508)		https://www.hero-wars.com?replay_id=1755264774023427136	
15/08 16:31	140	33	55070191	-БигФут-	683961	Акс Тея Мод Джу Дан Лир	2515589	Акс(6508) Бис(6299) Аль(6508) Каи(6244) Оли(6508)		https://www.hero-wars.com?replay_id=1755264704904830359	
15/08 16:29	140	33	55070191	-БигФут-	435023	Аль Баб Дор Авг Ори Неб	405631	Оли(6508) Акс(6508) Аль(6508) Бис(6299) Каи(6244)		https://www.hero-wars.com?replay_id=1755264568116385844	
15/08 15:17	140	33	61430296	ZOV	955616	Аль Баб Дор Авг Ори Неб	28758886	Оли(6894) Акс(7868) Аль(6244) Хор(8518) Каи(8518)		https://www.hero-wars.com?replay_id=1755260241752298966	
15/08 15:06	140	33	61351954	XAM	236451	Аль Гел Ами Мор Ясм Крв	402524	Мер(3837) Бис(2414) Акс(3837) Каи(11064) Оли(3837)		https://www.hero-wars.com?replay_id=1755259608024690292	
15/08 14:50	140	33	61351954	XAM	507437	Аль Себ Дан Цин Мар Зир	714325	Оли(3837) Фен(3837) Каи(11064) Мер(3837) Бис(2414)		https://www.hero-wars.com?replay_id=1755258639588690398	
15/08 14:42	140	33	61351954	XAM	357724	Аль Айр Эйд Гус Исм Авр	1038612	Аль(3837) Мер(3837) Хор(3837) Фен(3837) Каи(11064)		https://www.hero-wars.com?replay_id=1755258150927400267	
15/08 14:33	140	33	61351954	XAM	345589	Аль Фаф Тея Джу Чер Руф	1757721	Оли(3837) Мер(3837) Фен(3837) Бис(2414) Аль(3837)		https://www.hero-wars.com?replay_id=1755257632923999450	
15/08 14:24	140	33	61351954	XAM	692132	Аль Баб Дор Ори Хай Неб	11369865	Оли(3837) Акс(3837) Мер(3837) Аль(3837) Каи(11064)		https://www.hero-wars.com?replay_id=1755257048535666865	
15/08 14:10	140	33	54975347	Wren	737814	Аль Баб Дор Авг Ори Неб	15502992	Оли(4773) Акс(6964) Аль(6978) Хор(10154) Каи(10154)		https://www.hero-wars.com?replay_id=1755256204629191482	
15/08 14:09	140	33	54975347	Wren	894490	Аль Фаф Хай Джу Айз Авр	2875360	Мар(4823) Бис(3493) Аль(6978) Акс(6964) Каи(10154)		https://www.hero-wars.com?replay_id=1755256182917371686	
15/08 14:08	140	33	54975347	Wren	752324	Аль Гел Сел Дан Цин Чер	1579513	Акс(6964) Хор(10154) Каи(10154) Аль(6978) Фен(6244)		https://www.hero-wars.com?replay_id=1755256119943482969	
15/08 14:07	140	33	55006435	Пунь Пунь	612744	Аль Ами Сел Ара Цин Чер	3162216	Бис(1722) Хор(6894) Акс(4033) Каи(11064) Оли(3413)		https://www.hero-wars.com?replay_id=1755256042285064835	
15/08 14:06	140	33	55006435	Пунь Пунь	771629	Аль Баб Дор Ори Хай Неб	9395820	Акс(4033) Мер(3223) Хор(6894) Аль(10154) Каи(11064)		https://www.hero-wars.com?replay_id=1755256010627771558	
15/08 14:04	140	33	55003119	3.14_ZDETS	402392	Аль Без Фол Джу К'А Гал	500625	Хор(10154) Акс(7188) Аль(7174) Мар(4123) Фен(4806)		https://www.hero-wars.com?replay_id=1755255879052110174	
15/08 14:04	140	33	55003119	3.14_ZDETS	815466	Аль Баб Дор Авг Ори Неб	22447956	Оли(4451) Акс(7188) Аль(7174) Хор(10154) Каи(10154)		https://www.hero-wars.com?replay_id=1755255868754337609	
15/08 14:04	140	33	55003119	3.14_ZDETS	820604	Аль Айз Ара Исм Аст Руф	915597	Оли(4451) Мар(4123) Фен(4806) Бис(3623) Аль(7174)		https://www.hero-wars.com?replay_id=1755255840485846825	
15/08 14:03	140	33	55003119	3.14_ZDETS	578215	Аль Хай Сат Чер Лир Авр	2911405	Каи(10154) Хор(10154) Фен(4806) Оли(4451) Акс(7188)		https://www.hero-wars.com?replay_id=1755255785165772634	
15/08 14:02	140	33	55003119	3.14_ZDETS	666058	Аль Фаф Йор Себ Сел Дан	455661	Оли(4451) Акс(7188) Аль(7174) Хор(10154) Каи(10154)		https://www.hero-wars.com?replay_id=1755255749171575339	
15/08 13:59	140	33	54969372	Seregina	854544	Аль Фаф Сел Цин Лир Юли	1513852	Оли(10154) Хор(11064) Каи(10154) Бис(4773) Акс(4806)		https://www.hero-wars.com?replay_id=1755255589877341459	
15/08 13:59	140	33	54969372	Seregina	1067284	Аль Дже Себ Айз Дан Ясм	7287643	Акс(4806) Фен(4156) Оли(10154) Каи(10154) Аль(9552)		https://www.hero-wars.com?replay_id=1755255552056255938	
15/08 13:58	140	33	54969372	Seregina	704103	Аль Тея Арт Джу Гал Аст	1464365	Акс(4806) Век(4123) Фен(4156) Аль(9552) Оли(10154)		https://www.hero-wars.com?replay_id=1755255511125342480	
15/08 13:21	140	33	61430986	Орел	293182	Аль Йор Джу Ара Май Авр	356523	Оли(4806) Фен(3959) Аль(5136) Бис(1144) Акс(4817)		https://www.hero-wars.com?replay_id=1755253283093470726	
15/08 13:20	140	33	61430986	Орел	343036	Аль Айз Сел Кир Исм Аст	201620	Акс(4817) Хор(5277) Аль(5136) Фен(3959) Оли(4806)		https://www.hero-wars.com?replay_id=1755253254673861268	
15/08 13:20	140	33	61430986	Орел	548624	Аль Авг Хай Себ Неб Руф	1025305	Хор(5277) Аль(5136) Оли(4806) Каи(4486) Акс(4817)		https://www.hero-wars.com?replay_id=1755253214013705832	
15/08 13:19	140	33	61430986	Орел	520639	Аль Тея Фоб Мор Дан Лир	341103	Акс(4817) Хор(5277) Оли(4806) Каи(4486) Фен(3959)		https://www.hero-wars.com?replay_id=1755253165616912408	
15/08 13:17	140	33	61430986	Орел	531165	Мер Баб Дор Ори Чер Крв	3965394	Оли(4806) Акс(4817) Мер(4487) Фен(3959) Аль(5136)		https://www.hero-wars.com?replay_id=1755253036905458725	
15/08 12:32	140	33	61406417	Tanin	479164	Аль Лар Айз Сел Суд Эль	511783	Акс(10154) Мар(4773) Мер(5766) Оли(10154) Каи(8518)		https://www.hero-wars.com?replay_id=1755250370227319085	
15/08 12:32	140	33	61406417	Tanin	552449	Аль Тея Фол Кир Гус Гал	803038	Акс(10154) Мер(5766) Аль(10154) Оли(10154) Фен(4123)		https://www.hero-wars.com?replay_id=1755250322129709779	
15/08 12:31	140	33	61406417	Tanin	878428	Акс Ори Ара Чер Анд Кей	5375643	Акс(10154) Мар(4773) Оли(10154) Фен(4123) Аль(10154)		https://www.hero-wars.com?replay_id=1755250273338068040	
15/08 11:14	140	33	54768066	Макай	329188	Аль Дже Кир Ара Эль Авр	166106	Акс(3341) Фен(3223) Аль(5204) Век(3223) Каи(9504)		https://www.hero-wars.com?replay_id=1755245696542753856	
15/08 11:14	140	33	54768066	Макай	306416	Аль Баб Фол Сел Ясм Аст	172560	Оли(3223) Хор(5116) Мер(3223) Каи(9504) Акс(3341)		https://www.hero-wars.com?replay_id=1755245675328890021	
15/08 11:14	140	33	54768066	Макай	444013	Аль Фаф Тея Хай Джу Чер	976619	Мар(4173) Акс(3341) Каи(9504) Век(3223) Оли(3223)		https://www.hero-wars.com?replay_id=1755245654111141136	
15/08 11:13	140	33	54768066	Макай	481494	Аль Авг Себ Айз Гус Лир	293936	Акс(3341) Фен(3223) Оли(3223) Хор(5116) Бис(3241)		https://www.hero-wars.com?replay_id=1755245629584872648	
15/08 11:13	140	33	54768066	Макай	816474	Аль Дор Айр Ори Неб Дан	3329497	Мер(3223) Аль(5204) Хор(5116)  ###  Каи(9504)		https://www.hero-wars.com?replay_id=1755245593939762971	
15/08 11:06	140	33	61462934	Kamul27rus	749839	Мер Баб Дор Ори Чер Крв	10149560	Оли(6484) Акс(3885) Мер(6908) Фен(5808) Аль(8108)		https://www.hero-wars.com?replay_id=1755245180512530777	
15/08 10:59	140	33	61462886	Nergal	768303	Мер Баб Дор Авг Ори Неб	20013413	Оли(5715) Акс(4083) Аль(10630) Мер(8518) Каи(4123)		https://www.hero-wars.com?replay_id=1755244750765989263	
15/08 09:31	140	33	61407464	Natamobil	557918	Аль Авг Дан Чер Лир Крв	401075	Хор(8320) Каи(4033) Фен(2718) Оли(3605) Аль(4503)		https://www.hero-wars.com?replay_id=1755239475346147144	
15/08 09:30	140	33	61407464	Natamobil	824337	Аль Дор Ори Хай Неб Авр	6778870	Мер(2577) Хор(8320) Аль(4503) Каи(4033) Оли(3605)		https://www.hero-wars.com?replay_id=1755239441096122322	
15/08 09:27	140	33	61407445	BAHO	350912	Аль Фаф Фол Гус Кей Гал	329316	Оли(5089) Хор(8554) Фен(3225) Бис(1005) Аль(5116)		https://www.hero-wars.com?replay_id=1755239269074850732	
15/08 09:27	140	33	61407445	BAHO	394994	Аль Баб Дже Эйд Хай Руф	454900	Оли(5089) Каи(5008) Хор(8554) Аль(5116) Акс(2631)		https://www.hero-wars.com?replay_id=1755239244679810768	
15/08 09:26	140	33	61407445	BAHO	476237	Аль Айр Айз Мор Чер Тес	1035748	Аль(5116) Оли(5089) Акс(2631) Бис(1005) Фен(3225)		https://www.hero-wars.com?replay_id=1755239211372133945	
15/08 09:26	140	33	61407445	BAHO	651566	Хор Себ Неб Джу Кир Крв	388153	Оли(5089) Каи(5008) Фен(3225) Век(5135) Аль(5116)		https://www.hero-wars.com?replay_id=1755239177386677932	
15/08 09:25	140	33	61407445	BAHO	816030	Аль Дор Авг Ори Дан Лир	5319336	Акс(2631) Аль(5116) Хор(8554) Каи(5008) Оли(5089)		https://www.hero-wars.com?replay_id=1755239131163463675	
