date time	level	week	attacker id	att name	att power	att team	damage	attacker patronage	replay
04/07 11:13	140	27	61462934	Kamul27rus	937162	Аль Тея Ори Неб Ясм Крв	9660314	Акс(3480) Мер(6258) Каи(6244) Аль(7580) Бис(3283)	https://www.hero-wars.com?replay_id=1751616818879519146	
04/07 11:09	140	27	54768066	Макай	649141	Аль Дор Ори Неб Айз Дан	4708903	Мер(3223) Хор(5116)  ###  Оли(3223) Каи(7967)	https://www.hero-wars.com?replay_id=1751616597519987624	
04/07 10:52	140	27	61462886	Nergal	728942	Аль Баб Дор Авг Ори Неб	15471582	Оли(5683) Акс(3223) Аль(8573) Мер(6949) Каи(3223)	https://www.hero-wars.com?replay_id=1751615523733759635	
04/07 10:00	140	27	54767412	ФУРИЯ	116921	Лил Дже Мод Айз Лют	4330	Хор(6244) Каи(6440) Акс(5691)  ###  Мар(6244)	https://www.hero-wars.com?replay_id=1751612446645901010	
04/07 10:00	140	27	54767412	ФУРИЯ	151672	Без Авг Себ Джу Сел	38708	Мар(6244) Хор(6244)  ###  Аль(4697) Акс(5691)	https://www.hero-wars.com?replay_id=1751612429448755635	
04/07 09:59	140	27	54767412	ФУРИЯ	332513	Каи Фол Хай Кир Чер Лир	101468	Хор(6244) Каи(6440) Аль(4697)  ###   ### 	https://www.hero-wars.com?replay_id=1751612390065312651	
04/07 09:59	140	27	54767412	ФУРИЯ	589042	Каи Дор Айр Ори Ясм Аст	939063	Мер(3431) Аль(4697) Мар(6244) Каи(6440) Акс(5691)	https://www.hero-wars.com?replay_id=1751612352777308768	
04/07 09:58	140	27	54767412	ФУРИЯ	757920	Каи Фаф Тея Неб Дан Ара	590184	Мар(6244) Акс(5691)  ###  Каи(6440) Аль(4697)	https://www.hero-wars.com?replay_id=1751612337542867740	
04/07 09:55	140	27	61430296	ZOV	880945	Аль Баб Дор Авг Ори Неб	20856855	Оли(6244) Акс(6244) Аль(4123) Хор(6332) Каи(8518)	https://www.hero-wars.com?replay_id=1751612154301864293	
04/07 07:58	140	27	61430370	Тема	383104	Аль Эйд Хай Айз Цин Кей	1068486	Хор(4123) Аль(8518) Акс(7458) Каи(4123) Бис(1291)	https://www.hero-wars.com?replay_id=1751605136635527834	
04/07 07:58	140	27	61430370	Тема	435324	Аль Айр Фол Сел Ара Аст	499170	Бис(1291) Хор(4123) Акс(7458) Аль(8518) Оли(3473)	https://www.hero-wars.com?replay_id=1751605099959118640	
04/07 07:57	140	27	61430370	Тема	624458	Аль Тея Себ Чер Ясм Авр	548244	Мер(1846) Оли(3473) Бис(1291) Аль(8518) Акс(7458)	https://www.hero-wars.com?replay_id=1751605065701273823	
04/07 07:56	140	27	61430370	Тема	590003	Аль Баб Мор Кир Лир Крв	2217983	 ###  Акс(7458) Век(1309) Бис(1291) Оли(3473)	https://www.hero-wars.com?replay_id=1751604997443252350	
04/07 07:55	140	27	61430370	Тема	812561	Аль Дор Авг Ори Неб Дан	8990372	Мер(1846) Аль(8518) Акс(7458)  ###  Каи(4123)	https://www.hero-wars.com?replay_id=1751604942386509554	
04/07 07:21	140	27	61357137	Оди	392106	Акс Крн Йор Мор Ара Тес	152354	Акс(6949)  ###  Оли(6949) Мар(6949) Аль(9018)	https://www.hero-wars.com?replay_id=1751602910052530828	
