date time	attacker id	att name	att power	att team	defender id	def name	def power	team	points	attacker patronage	defender patronage	comment	replay
19/08 14:39	61411830	Rom	852953	Хор Дор Авг Ори Неб Авр	61518325	MHero	1195457	Чер Сел Ори Айр Крн Аль	20	Акс(5766) Аль(5766) Мер(4773)  ###  Каи(11064)	Оли(10154) Мер(11064) Акс(11064) Аль(11064) Бис(5230)		https://www.hero-wars.com?replay_id=1755603576393938955	
19/08 14:34	61408059	Joos	939060	Хор Дор Авг Ори Неб Лир	55245581	0701TW	1157408	Дан Неб Ори Авг Дор Аль	20	Акс(5116) Аль(5116) Хор(10154) Каи(10154) Оли(8068)	Фен(9428) Каи(11064) Мар(6894) Бис(10154) Акс(10154)		https://www.hero-wars.com?replay_id=1755603299224005870	
19/08 14:34	61408059	Joos	939060	Хор Дор Авг Ори Неб Лир	61518392	DronoOb	1025567	Дан Неб Ори Авг Айр Хор	20	Акс(5116) Аль(5116) Хор(10154) Каи(10154) Оли(8068)	Каи(10154)  ###  Акс(9902) Хор(11064) Аль(4767)		https://www.hero-wars.com?replay_id=1755603276155124367	
19/08 14:16	55023282	Blade Runner	1140286	Хор Дор Авг Ори Неб Дан	55003119	3.14_ZDETS	817766	Аст Исм Неб Себ Фаф Акс	20	Акс(7268) Аль(8992) Хор(10154)  ###  Каи(11064)	Акс(7538) Оли(4451) Каи(10154) Фен(4806) Мар(4123)		https://www.hero-wars.com?replay_id=1755602170191864869	
19/08 14:08	61517836	Malena	1133552	Акс Себ Айз Сел Гал Руф	61408059	Joos	937804	Лир Неб Ори Авг Дор Хор	20	Аль(11064) Оли(10154) Хор(8518) Фен(5766) Акс(11064)	Оли(8068) Каи(10154) Хор(10154) Аль(5116) Мер(3943)		https://www.hero-wars.com?replay_id=1755601721041362092	
19/08 13:48	61517836	Malena	1147858	Акс Гел Пол Дор Эйд Ами	54969372	Seregina	1094345	Юли Лир Ясм Дан Себ Хор	20	Хор(8518) Мар(10154) Акс(11064) Аль(11064) Оли(10154)	Акс(4806) Оли(10154) Каи(10154) Фен(4156) Аль(9790)		https://www.hero-wars.com?replay_id=1755600491280594033	
19/08 13:45	55029462	RINk	930645	Акс Тея Йор Себ Неб Джу	61357137	Оди	1099119	Руф Ами Неб Хай Пол Хор	20	Акс(8518) Оли(6894) Аль(11064) Каи(10154) Век(6894)	Бис(6949) Акс(9428) Каи(6949) Аль(9428) Мар(6949)		https://www.hero-wars.com?replay_id=1755600311848926423	
19/08 13:29	61518553	Nemesis	1095918	Акс Гел Авг Ори Неб Сел	61406417	Tanin	1123890	Крв Лир Мор Фоб Баб Оли	20	Бис(4123) Аль(10154) Мер(9692) Каи(9118) Акс(10154)	Аль(10154) Фен(4123) Оли(10154) Мер(6297) Акс(10154)		https://www.hero-wars.com?replay_id=1755599366447914090	
19/08 13:21	54811733	Kevin	1138201	Хор Дор Авг Ори Неб Дан	61462934	Kamul27rus	991811	Крв Лир Ясм Неб Ори Мер	20	Мер(10154) Аль(11064) Хор(11064)  ###  Каи(11064)	Оли(6484) Фен(5818) Аль(8108) Каи(6894) Мер(6908)		https://www.hero-wars.com?replay_id=1755598888763968475	
19/08 13:21	54811733	Kevin	1138201	Хор Дор Авг Ори Неб Дан	61687749	G_G	1034741	Лир Исм Неб Себ Эйд Акс	20	Мер(10154) Аль(11064) Хор(11064)  ###  Каи(11064)	Оли(5417) Фен(8108) Каи(8518) Аль(9292) Мер(4773)		https://www.hero-wars.com?replay_id=1755598879572643203	
19/08 13:07	61518553	Nemesis	1095918	Акс Гел Авг Ори Неб Сел	61462886	Nergal	1073885	Крв Лир Ясм Неб Ори Аль	20	Бис(4123) Аль(10154) Мер(9692) Каи(9118) Акс(10154)	Аль(11064) Оли(5715) Фен(4963) Каи(4123) Мер(8628)		https://www.hero-wars.com?replay_id=1755598067935570520	
19/08 12:44	55097636	Dovedi	944963	Аль Эйд Хай Неб Ами Руф	61462867	Dark Side	1038931	Лир Исм Неб Себ Эйд Акс	15	Хор(10154) Аль(10154) Каи(10154) Оли(10154) Акс(10154)	Оли(8346) Фен(5417) Каи(11064) Аль(6676) Мер(4773)		https://www.hero-wars.com?replay_id=1755596694474920787	
19/08 12:41	55004284	zzz	1023273	Акс Эйд Себ Неб Исм Лир	61462867	Dark Side	1038931	Лир Исм Неб Себ Эйд Акс	5	Хор(11064) Аль(9428) Каи(11064) Мар(4123) Оли(8518)	Оли(8346) Фен(5417) Каи(11064) Аль(6676) Мер(4773)		https://www.hero-wars.com?replay_id=1755596517970555287	
19/08 12:21	61518350	SEED OF CHUCKY	1093286	Акс Ори Хай Неб Ара Гал	55006435	Пунь Пунь	1011072	Аст Ясм Сел Хай Дор Каи	20	Акс(10154) Аль(11064) Каи(10154) Мар(4698) Оли(4773)	Акс(4033) Каи(11064) Хор(6894) Аль(10154) Мер(3223)		https://www.hero-wars.com?replay_id=1755595262625685441	
19/08 12:14	55004284	zzz	1143428	Хор Дор Авг Ори Неб Лир	61430296	ZOV	1073056	Дан Неб Ори Авг Дор Хор	20	Мер(8518) Хор(11064) Акс(11064) Каи(11064) Оли(8518)	Каи(8518)  ###  Мер(6244) Хор(8518) Акс(7868)		https://www.hero-wars.com?replay_id=1755594893967487185	


