date time	attacker id	att name	att power	att team	defender id	def name	def power	team	points	attacker patronage	defender patronage	comment	replay
15/08 22:47	54809137	Spartan	1009087	Оли Себ Сел Ара Ясм Авр	61407464	Natamobil	882493	Авр Неб Хай Ори Дор Хор	16	Оли(7926) Акс(5416) Аль(11064) Фен(6332) Мер(7026)	Оли(3605) Каи(4033) Аль(4503) Хор(8320) Акс(4450)		https://www.hero-wars.com?replay_id=1755287222904912022	
15/08 22:40	54809137	Spartan	930893	Акс Дор Хай Себ Айз Авр	61407445	BAHO	824003	Лир Неб Ори Авг Дор Хор	10	Мер(7026) Аль(11064) Фен(6332) Акс(5416) Оли(7926)	Оли(5089) Каи(5008) Хор(8554) Аль(5116) Акс(2631)		https://www.hero-wars.com?replay_id=1755286815133398727	
15/08 22:24	61430370	Тема	735536	Каи Дор Авг Ори Неб Авр	61518468	Saintlouisblues	1063128	Гал Ясм Дан Сел Айр Оли	20	Мер(3973) Аль(9428) Акс(7596)  ###  Каи(4123)	Оли(8810) Каи(8518) Фен(4261) Хор(6549) Аль(4143)		https://www.hero-wars.com?replay_id=1755285887471323798	
15/08 22:03	61407445	BAHO	833144	Хор Дор Авг Ори Неб Лир	55245581	0701TW	1156153	Дан Неб Ори Авг Дор Аль	20	Акс(2631) Аль(5116) Хор(8554) Каи(5008) Оли(5161)	Фен(8068) Каи(11064) Мар(6894) Бис(10154) Акс(10154)		https://www.hero-wars.com?replay_id=1755284621624018319	
15/08 22:02	61430370	Тема	858008	Аль Дор Авг Ори Неб Дан	61518392	DronoOb	1025454	Дан Неб Ори Авг Айр Хор	3	Мер(3973) Аль(9428) Акс(7596)  ###  Каи(4123)	Каи(10154)  ###  Акс(9776) Хор(11064) Аль(4767)		https://www.hero-wars.com?replay_id=1755284546441148272	
15/08 21:59	61462867	Dark Side	1110361	Акс Себ Неб Айз Исм Лир	55004284	zzz	1130582	Лир Неб Ори Авг Дор Хор	20	Аль(6676) Каи(11064) Мар(9428) Оли(8346) Бис(5766)	Оли(8518) Каи(11064) Акс(11064) Хор(11064) Мер(8518)		https://www.hero-wars.com?replay_id=1755284371447981314	
15/08 21:53	55006435	Пунь Пунь	1016497	Аль Хай Себ Неб Ясм Аст	61517836	Malena	1140256	Аст Лир Исм Себ Сор Акс	8	Аль(10154) Оли(3413)  ###  Каи(11064) Акс(4033)	Акс(11064) Фен(5766) Оли(10154) Аль(11064) Век(8810)		https://www.hero-wars.com?replay_id=1755284017353262427	
15/08 20:27	61411830	Rom	855264	Хор Дор Авг Ори Неб Авр	61517836	Malena	1140256	Аст Лир Исм Себ Сор Акс	0	Акс(5766) Аль(5766) Хор(8518)  ###  Каи(11064)	Акс(11064) Фен(5766) Оли(10154) Аль(11064) Век(8810)		https://www.hero-wars.com?replay_id=1755278822981366961	
15/08 20:21	61462867	Dark Side	1087681	Акс Дор Авг Ори Неб Дан	61517836	Malena	1140256	Аст Лир Исм Себ Сор Акс	12	Мер(4773) Акс(9461) Хор(11064)  ###  Каи(11064)	Акс(11064) Фен(5766) Оли(10154) Аль(11064) Век(8810)		https://www.hero-wars.com?replay_id=1755278467449727234	
15/08 19:53	55006435	Пунь Пунь	856414	Аль Дор Хай Себ Айз Аст	61518350	SEED OF CHUCKY	1047549	Лир Исм Неб Ори Авг Акс	20	Мер(3223) Аль(10154) Фен(3223) Акс(4033) Оли(3413)	Бис(4623) Оли(4773) Каи(10154) Акс(10154) Аль(11064)		https://www.hero-wars.com?replay_id=1755276784782684267	
15/08 19:09	61518350	SEED OF CHUCKY	1002328	Акс Себ Неб Джу Исм Лир	61430296	ZOV	1072131	Дан Неб Ори Авг Дор Хор	3	Аль(11064) Каи(10154) Век(4123) Оли(4773) Фен(4623)	Каи(8518)  ###  Мер(6244) Хор(8518) Акс(7868)		https://www.hero-wars.com?replay_id=1755274170466960135	
15/08 19:03	55004774	Unseen	959162	Акс Эйд Себ Кир Цин Лир	54768066	Макай	892378	Дан Неб Ори Айр Фаф Каи	20	Хор(8518) Аль(7868) Век(5145) Каи(3673) Оли(9428)	Каи(9504)  ###  Хор(5116) Аль(5204) Мар(4173)		https://www.hero-wars.com?replay_id=1755273790176999811	
15/08 19:02	55004774	Unseen	959162	Акс Эйд Себ Кир Цин Лир	61465257	The BIG	919259	Гал Джу Неб Себ Баб Аль	20	Хор(8518) Аль(7868) Век(5145) Каи(3673) Оли(9428)	Оли(6664) Век(5847) Каи(5760) Аль(8922) Акс(5902)		https://www.hero-wars.com?replay_id=1755273773046963329	
15/08 18:17	61357137	Оди	1099119	Хор Пол Хай Неб Ами Руф	55029462	RINk	1128805	Исм Дан Айз Себ Эйд Аль	20	Мар(6949) Аль(9428) Каи(6949) Акс(9428) Бис(6949)	Оли(6894) Каи(10154) Акс(8518) Аль(11064) Хор(9510)		https://www.hero-wars.com?replay_id=1755271062088570083	
15/08 17:51	61518392	DronoOb	1025454	Хор Айр Авг Ори Неб Дан	61462934	Kamul27rus	991446	Крв Лир Ясм Неб Ори Мер	20	Аль(4767) Хор(11064) Акс(9776)  ###  Каи(10154)	Оли(6484) Фен(5808) Аль(8108) Каи(6894) Мер(6908)		https://www.hero-wars.com?replay_id=1755269463344904318	
15/08 17:50	61518392	DronoOb	1025454	Хор Айр Авг Ори Неб Дан	55006435	Пунь Пунь	1011000	Аст Ясм Сел Хай Дор Каи	20	Аль(4767) Хор(11064) Акс(9776)  ###  Каи(10154)	Акс(4033) Каи(11064) Хор(6894) Аль(10154) Мер(3223)		https://www.hero-wars.com?replay_id=1755269419979915421	
15/08 17:41	55003119	3.14_ZDETS	940436	Хор Дор Авг Ори Неб Аст	54811733	Kevin	1137463	Дан Неб Ори Авг Дор Хор	20	Мер(3623) Аль(7174) Хор(10154) Каи(10154) Акс(7188)	Каи(11064)  ###  Хор(11064) Аль(11064) Акс(10154)		https://www.hero-wars.com?replay_id=1755268895178344201	
15/08 17:26	61462934	Kamul27rus	953266	Аль Тея Неб Айз Ясм Крв	55107392	PURGE no MERCY	926286	Авр Дан Сел Айз Ори Аль	20	Мер(6908) Каи(6894) Акс(3885) Аль(8108) Оли(6484)	Оли(7394) Каи(6356) Акс(4980) Мар(6244) Хор(7868)		https://www.hero-wars.com?replay_id=1755267983317527152	
15/08 17:03	61462886	Nergal	952180	Аль Себ Айз Гус Ясм Крв	55004774	Unseen	1026861	Лир Цин Кир Себ Эйд Хор	20	Фен(4963) Акс(4543) Хор(5691) Аль(10658) Оли(5715)	Оли(9428) Каи(3673) Век(4407) Аль(7868) Хор(8518)		https://www.hero-wars.com?replay_id=1755266616293167440	
15/08 16:54	61411830	Rom	855264	Хор Дор Авг Ори Неб Авр	54806721	Frank +8	1060075	Ара Дан Хай Ори Дор Акс	20	Акс(5766) Аль(5766) Хор(8518)  ###  Каи(11064)	Мар(10154) Каи(11064) Аль(5683) Мер(6484) Акс(11064)		https://www.hero-wars.com?replay_id=1755266061987208173	
15/08 16:52	55072940	T6 	1056645	Акс Дже Фол Дан Кей Авр	61407445	BAHO	824003	Лир Неб Ори Авг Дор Хор	10	Акс(9526) Бис(3973) Каи(7868) Аль(7460) Оли(5419)	Оли(5089) Каи(5008) Хор(8554) Аль(5116) Акс(2631)		https://www.hero-wars.com?replay_id=1755265969873971505	
15/08 16:15	61462934	Kamul27rus	949203	Мер Тея Ори Неб Ясм Лир	54809137	Spartan	1094437	Авр Ясм Ара Себ Тея Каи	20	Акс(3885) Мер(6908) Каи(6894) Аль(8108) Оли(6484)	Мер(7026) Каи(9504) Аль(11064) Фен(6332) Акс(5416)		https://www.hero-wars.com?replay_id=1755263748901860098	
15/08 16:13	55097636	Dovedi	944963	Аль Эйд Хай Неб Ами Руф	61462867	Dark Side	1031039	Лир Исм Неб Себ Эйд Акс	4	Хор(10154) Аль(10154) Каи(10154) Акс(10154) Оли(10154)	Оли(8346) Фен(5318) Каи(11064) Аль(6676) Хор(11064)		https://www.hero-wars.com?replay_id=1755263625819486916	
15/08 15:52	61407445	BAHO	824003	Хор Дор Авг Ори Неб Лир	54922244	BlueCup	968468	Кей Дан Неб Ори Айр Аль	20	Акс(2631) Аль(5116) Хор(8554) Каи(5008) Оли(5089)	Аль(11064) Каи(8546)  ###  Мер(4767) Бис(4353)		https://www.hero-wars.com?replay_id=1755262332057233455	
15/08 15:36	61408059	Joos	936259	Хор Дор Авг Ори Неб Лир	55023282	Blade Runner	1150988	Дан Неб Ори Авг Дор Хор	20	Акс(5116) Аль(5116) Хор(10154) Каи(10154) Оли(7130)	Фен(8782) Каи(11064) Хор(10154) Аль(8992) Акс(7268)		https://www.hero-wars.com?replay_id=1755261390766360151	
15/08 15:36	61408059	Joos	936259	Хор Дор Авг Ори Неб Лир	61518553	Nemesis	1127766	Дан Неб Ори Авг Дор Хор	20	Акс(5116) Аль(5116) Хор(10154) Каи(10154) Оли(7130)	Каи(8978)  ###  Мер(9692) Аль(10154) Акс(10154)		https://www.hero-wars.com?replay_id=1755261365152814477	
15/08 15:09	61517836	Malena	1110503	Акс Эйд Себ Айз Исм Лир	61408059	Joos	1044891	Авр Неб Ори Авг Айр Хор	20	Хор(8518) Аль(11064) Мар(10154) Оли(10154) Фен(5766)	Каи(10154)  ###  Хор(10154) Аль(5116) Оли(7130)		https://www.hero-wars.com?replay_id=1755259774381400004	
15/08 14:35	54768066	Макай	892378	Каи Фаф Айр Ори Неб Дан	55308465	Misty	1020792	Ясм Ара Джу Лар Тея Акс	20	Мар(4173) Аль(5204) Хор(5116)  ###  Каи(9504)	Каи(6894) Мар(7804) Аль(6894) Хор(6244) Акс(9504)		https://www.hero-wars.com?replay_id=1755257702999497747	
15/08 14:34	54768066	Макай	892378	Каи Фаф Айр Ори Неб Дан	55072940	T6 	1045902	Аст Кей Дан Фол Дже Аль	20	Мар(4173) Аль(5204) Хор(5116)  ###  Каи(9504)	Оли(5419) Аль(7460) Каи(7868) Бис(3973) Акс(9526)		https://www.hero-wars.com?replay_id=1755257684856847719	
15/08 14:16	55023282	Blade Runner	1140286	Хор Дор Авг Ори Неб Дан	61430370	Тема	929472	Ясм Дан Неб Ори Авг Аль	20	Акс(7268) Аль(8992) Хор(10154)  ###  Каи(11064)	Аль(9428) Каи(4123)  ###  Акс(7596) Хор(4123)		https://www.hero-wars.com?replay_id=1755256598904319543	
15/08 14:15	55023282	Blade Runner	1140286	Хор Дор Авг Ори Неб Дан	61430296	ZOV	1072131	Дан Неб Ори Авг Дор Хор	17	Акс(7268) Аль(8992) Хор(10154)  ###  Каи(11064)	Каи(8518)  ###  Мер(6244) Хор(8518) Акс(7868)		https://www.hero-wars.com?replay_id=1755256522771775978	
15/08 13:51	61517836	Malena	1136599	Акс Сор Цин Три Лир Гал	61357137	Оди	1099119	Руф Ами Неб Хай Пол Хор	20	Век(8810) Каи(10154) Фен(5766) Бис(3691) Оли(10154)	Бис(6949) Акс(9428) Каи(6949) Аль(9428) Мар(6949)		https://www.hero-wars.com?replay_id=1755255102891897223	
15/08 13:32	55029462	RINk	1066282	Аль Эйд Себ Айз Лир Крв	54975347	Wren	1062933	Авр Сел Неб Хай Ори Хор	20	Хор(9510) Фен(5956) Оли(6894) Бис(5956) Аль(11064)	Каи(10154) Хор(10154)  ###  Аль(6978) Акс(6964)		https://www.hero-wars.com?replay_id=1755253971933515575	
15/08 13:16	61518593	FOCUS POTUS	1034784	Хор Дор Авг Ори Неб Лир	55003119	3.14_ZDETS	1002255	Исм Дан Ори Авг Дор Хор	20	Акс(5766) Аль(8108) Хор(11064) Каи(10154) Оли(10394)	Оли(4451) Фен(4806) Акс(7188) Хор(10154) Мер(3623)		https://www.hero-wars.com?replay_id=1755252976326263539	
15/08 13:14	61518545	Grandpa	1123719	Аль Себ Кир Три Лир Гал	54969372	Seregina	1093919	Юли Лир Ясм Дан Себ Хор	20	Аль(11064) Век(5766) Фен(8742) Оли(10154) Бис(4773)	Акс(4806) Оли(10154) Каи(10154) Фен(4156) Аль(9552)		https://www.hero-wars.com?replay_id=1755252893127488015	
15/08 13:13	61518553	Nemesis	1095788	Акс Гел Авг Ори Неб Сел	61462886	Nergal	1052263	Крв Лир Ясм Неб Ори Аль	20	Бис(4123) Аль(10154) Мер(9692) Каи(9006) Акс(10154)	Аль(10630) Оли(5715) Фен(4963) Каи(4123) Мер(8518)		https://www.hero-wars.com?replay_id=1755252817557689919	
15/08 13:10	54806721	Frank +8	1102999	Акс Тея Ори Хай Неб Сел	61462867	Dark Side	1031039	Лир Исм Неб Себ Эйд Акс	16	Мар(10154) Мер(6484) Аль(5683) Каи(11064) Акс(11064)	Оли(8346) Фен(5318) Каи(11064) Аль(6676) Хор(11064)		https://www.hero-wars.com?replay_id=1755252649634265812	
15/08 13:06	61518545	Grandpa	1123719	Аль Себ Кир Три Лир Гал	61406476	Джуманджи	1141794	Аст Кей Джу Неб Себ Оли	20	Аль(11064) Век(5766) Фен(8742) Оли(10154) Бис(4773)	Акс(4773) Аль(11064) Фен(6894) Каи(10154) Оли(11064)		https://www.hero-wars.com?replay_id=1755252396315984022	
15/08 13:05	61518553	Nemesis	1095788	Акс Гел Авг Ори Неб Сел	61406417	Tanin	1114811	Крв Лир Мор Фоб Баб Акс	20	Бис(4123) Аль(10154) Мер(9692) Каи(9006) Акс(10154)	Оли(10154) Фен(4123) Акс(10154) Аль(10154)  ### 		https://www.hero-wars.com?replay_id=1755252301081736050	
