date time	attacker id	att name	att power	att team	defender id	def name	def power	team	points	attacker pets	defender pets	comment	A flag/totem	D flag/totem	A flag desc/Totem skills	D flag desc/Totem skills	replay
13/02 21:35	61882212	Оди	1222938	Ияр(231) Сол(294) Мор(231) Риг(198) Бру(270)	27173484	GerMonegrino	1220099	Риг(238) Амо(236) Сол(263) Ияр(236) Тен(247)	35				С6-130 Т6-130	С6-130	"ЛП4 ЗС5 ГН5 ТК3"	"ГН2 ЗС3  "	https://www.hero-wars.com?replay_id=1771007732377622965	
13/02 21:33	61882212	Оди	1158911	Тен(293) Гип(208) Кер(231) Нов(208) Сиг(220)	27348343	greydragon	1242126	Мол(238) Мор(251) Ара(221) Тен(312) Игн(221)	35				В6-130 Т6-130	О6-130 Т6-130	"ШГ4 ПД2 ГН5 ТК3"	"ТП3 ЗС5 ГН3 ТК5"	https://www.hero-wars.com?replay_id=1771007588231950672	
13/02 16:42	61882177	Rom	717082	Сил(84) Эде(193) Вер(168) Ава(113) Анг(159)	32009207	Tanja Os	998551	Сиг(157) Нов(162) Кер(234) Гип(178) Тен(268)	35				Д5-125	Т6-116 В6-99	"ЛП3 ЭЭ3  "	"ЛП3 ЗС1 ГН2 ЭЭ2"	https://www.hero-wars.com?replay_id=1770990157579829486	
13/02 14:55	62070560	iCool	751589	Эде(135) Кер(160) Вер(170) Мор(167) Анг(119)	27118518	Dalacqua	1010765	Сиг(204) Нов(204) Маи(197) Эде(201) Гип(204)	35				Т6-130 Д3-100	В5-122	"ПВ2 ЗС2 ГС1 ПД1"	"ТП1 ТК1  "	https://www.hero-wars.com?replay_id=1770983703663232007	
13/02 14:43	61882154	Виларт	1016289	Гип(213) Маи(196) Аше(195) Нов(212) Мол(200)	38712347	BiBa Butzemann	1282438	Бру(228) Риг(249) Мор(203) Сол(301) Тен(302)	35				В6-130 О6-130	Т6-111 С6-111	"ЛП3 ТК3 ПВ4 ПР3"	"ТП2 ЗС3 ШГ2 ПР2"	https://www.hero-wars.com?replay_id=1770982988865786667	
13/02 13:29	61958839	Бальдр	1120046	Игн(216) Ара(224) Аше(207) Вул(232) Мол(241)	27348343	greydragon	1236020	Анг(238) Вер(204) Сол(318) Эде(221) Ияр(255)	35				О6-130	Д6-130 С6-130	"ТП5 ПД4  "	"ГС3 ПД5 ГС5 ТК5"	https://www.hero-wars.com?replay_id=1770978581016265198	
13/02 08:08	61882189	Santa	909307	Тен(234) Гип(197) Маи(163) Нов(153) Сиг(162)	27312891	usman	952548	Сиг(202) Нов(196) Сол(257) Ияр(96) Гип(202)	35				В4-106	В3-130 С0-1	"ПВ4 ТК3  "	"ГС1 ТК3  "	https://www.hero-wars.com?replay_id=1770959307545612032	
13/02 06:17	61882142	B.i.G	947845	Ияр(212) Ара(202) Сол(239) Аше(195) Риг(100)	28329066	Tal Rasha	1077515	Сиг(185) Нов(198) Маи(197) Гип(201) Тен(296)	35				О6-130 С3-120	В6-125	"ГС3 ПД2 ГН2 ЗС3"	"ПВ2 ПД3  "	https://www.hero-wars.com?replay_id=1770952671033943203	
13/02 01:55	61958839	Бальдр	1130562	Сил(240) Эде(223) Вер(206) Ава(222) Анг(240)	27472336	Zaxor	1135822	Сиг(216) Нов(201) Маи(216) Гип(216) Тен(288)	35				Д6-130	В6-130	"ШГ5 ЭЭ3  "	"ЛП1 ЗС4  "	https://www.hero-wars.com?replay_id=1770936902233151465	
12/02 23:55	27255430	Zokora	938594	Игн(107) Ара(196) Сол(241) Мол(179) Риг(215)	61882177	Rom	716253	Анг(159) Ава(112) Вер(168) Эде(193) Сил(84)	35				С6-130 О5-130	Д5-125	"ЛП1 ПР1 ЛП1 ЗС1"	"ЛП3 ЭЭ3  "	https://www.hero-wars.com?replay_id=1770929731354583959	
12/02 22:24	55773598	SanchoPancho	1065244	Игн(218) Эде(223) Ара(218) Вер(206) Аше(201)	61882196	Wren	1049936	Анг(213) Ава(209) Эде(209) Тен(216) Сил(204)	35				О6-130 Д6-130	Д6-130	"ГН3 ПР2 ГС5 ЭЭ3"	"ЛП4 ТК4  "	https://www.hero-wars.com?replay_id=1770924287446130998	
12/02 20:39	61882225	Бесенок Ната	1115651	Тен(274) Ияр(198) Ара(175) Сол(271) Бру(197)	27404265	Sufletel	1137095	Сиг(213) Нов(213) Маи(200) Гип(198) Тен(314)	35				С5-130 Т2-130	В6-130	"ЛП5 ЗС3 ГН1 ЗС1"	"ЛП1 ЭЭ1  "	https://www.hero-wars.com?replay_id=1770917954986406927	
12/02 14:06	61882142	B.i.G	871028	Игн(204) Тен(216) Вул(163) Мор(83) Мол(205)	43110968	Jensemann	1256049	Бру(246) Мор(246) Кер(246) Ара(212) Тен(307)	35				О6-130 Т2-90	Т6-130	"ГС3 ПД2 ЛП1 ТК2"	"ЛП2 ТК3  "	https://www.hero-wars.com?replay_id=1770894414551913108	
12/02 13:12	61882250	Kamul27rus	1350472	Тен(310) Ияр(240) Сол(310) Мор(226) Риг(265)	27244973	R.I.P.	1232617	Бру(264) Мор(247) Кер(235) Эде(178) Тен(308)	35				С6-130 Т6-130	Т6-130	"ЛП4 ТК1 ГС3 ЗС3"	"ШГ3 ПД2  "	https://www.hero-wars.com?replay_id=1770891122208877643	
12/02 12:00	57375596	irmscher	1171558	Сил(208) Ияр(242) Эде(210) Сол(304) Анг(208)	61882140	ПасТырЪ	1257112	Бру(238) Риг(228) Мор(204) Сол(286) Тен(300)	35				Д6-130 С6-130	Т6-130 С6-130	"ГН2 ПР1 ПВ2 ПД1"	"ГН5 ТК3 ЛП2 ЗС3"	https://www.hero-wars.com?replay_id=1770886822896476769	
12/02 09:40	61882233	2 718	886844	Игн(150) Ара(174) Сол(198) Аше(181) Мол(184)	27110116	PSYLOCK	1055063	Анг(225) Сол(211) Эде(209) Ияр(202) Сил(208)	35				О5-124	Д5-130 С3-106	"ГН4 ПД2  "	"ГС1 ЭЭ4  "	https://www.hero-wars.com?replay_id=1770878446080319520	
12/02 09:24	61882177	Rom	964504	Гип(213) Ара(173) Маи(178) Нов(195) Сиг(207)	27591749	Marz	1188091	Риг(234) Мор(199) Ава(200) Сол(295) Тен(259)	35				В6-130	С6-130 Т2-107	"ГС4 ПД3  "	"ГС2 ЗС5 ГН1 ПР4"	https://www.hero-wars.com?replay_id=1770877453803137991	
12/02 08:12	61882168	Тема	1097342	Тен(296) Эде(159) Кер(229) Мор(171) Бру(242)	27684258	ZZD	1006179	Мол(215) Аше(193) Ара(215) Эде(170) Игн(215)	35				Т6-130	О6-130	"ЛП2 ПД4  "	"ПВ1 ЗС3  "	https://www.hero-wars.com?replay_id=1770873139885223538	
