Укрепление,Результат,Очки,Атакующий,,,,,,Защищающийся,,,
,,,Молох | 6 stars | 130 | 167400,9900825,12315041,0,,,Сильва | 6 stars | 130 | 207472,6019972,11610701,0,
,,,Араджи | 6 stars | 130 | 191538,9640761,5176251,0,,,Авалон | 6 stars | 130 | 207514,4822243,14814345,0,
,,,Игнис | 6 stars | 130 | 150478,5101839,4520654,0,,,Вердок и Фито | 6 stars | 130 | 191236,3760986,14814345,0,
,,,Ияри | 6 stars | 130 | 199844,2902494,4558997,1855465,,,Ангус | 6 stars | 130 | 207549,1189056,17507684,0,
,,,Тотем Духа Огня | 5 stars | 115,21302483,0,0,,,Тотем Духа Земли | 5 stars | 130,12307632,15603966,0,
,,,Тотем Духа Света | 5 stars | 130,1686459,0,0,,,,,,,

Мост,Укрепление захвачено,+210
Бастион Льда (Позиция 4),Победа,+35,Бесенок Ната (130-1090434),,,,,,Hal Ulala (130-980539),Ускорение набора энергии (36%),,,
,,,,Нанесённый урон,Полученный урон,Исцеление,,,,Нанесённый урон,Полученный урон,Исцеление,
,,,Солярис | 6 stars | 130 | 268096,22723015,17627879,1300861,,,Гиперион | 6 stars | 130 | 209540,28444318,20192121,1959369,
,,,Тенебрис | 6 stars | 130 | 273680,13956077,12706116,7142867,,,Нова | 6 stars | 130 | 197808,10978967,9312239,0,
,,,Брустар | 6 stars | 130 | 197269,8190375,16242737,0,,,Араджи | 6 stars | 130 | 168817,5516701,9006156,0,
,,,Ияри | 6 stars | 130 | 194559,2677554,14568134,4306467,,,Маири | 6 stars | 130 | 196726,4755205,13423990,0,
,,,Мор | 6 stars | 130 | 156830,2387835,13213423,0,,,Сигурд | 6 stars | 130 | 207648,1761314,19466210,0,
,,,Тотем Духа Тьмы | 2 stars | 130,21465860,0,0,,,Тотем Духа Воды | 6 stars | 130,22901784,0,19190008,
,,,Тотем Духа Света | 4 stars | 127,0,0,0,,,,,,,

Бастион Льда (Позиция 1),Победа,+35,Лапочка (130-1042584),,,,,,Oinari (130-1240958),Ускорение набора энергии (36%),,,
,,,,Нанесённый урон,Полученный урон,Исцеление,,,,Нанесённый урон,Полученный урон,Исцеление,
,,,Молох | 6 stars | 130 | 222874,21767033,13406055,0,,,Эдем | 6 stars | 130 | 221826,25611138,22396094,0,
,,,Солярис | 6 stars | 130 | 239757,12861615,12222975,3586759,,,Сильва | 6 stars | 130 | 238582,7560910,14365346,0,
,,,Ияри | 6 stars | 130 | 178719,7712962,13267337,5843402,,,Ияри | 6 stars | 130 | 255315,6904500,12291296,6791839,
,,,Араджи | 6 stars | 130 | 215032,7269916,7938834,0,,,Солярис | 6 stars | 130 | 318339,3294198,12250378,1809427,
,,,Игнис | 6 stars | 130 | 186202,5547766,10712852,0,,,Авалон | 6 stars | 130 | 206896,1616219,17928460,0,
,,,Тотем Духа Огня | 6 stars | 130,31775177,0,0,,,Тотем Духа Света | 6 stars | 130,12561088,0,0,
,,,Тотем Духа Света | 6 stars | 130,833451,0,0,,,Тотем Духа Земли | 6 stars | 130,0,12032276,0,

Бастион Льда (Позиция 3),Победа,+35,Лапочка (130-791735),,,,,,DUHAayanami (130-1020513),Ускорение набора энергии (36%),,,
,,,,Нанесённый урон,Полученный урон,Исцеление,,,,Нанесённый урон,Полученный урон,Исцеление,
,,,Амон | 6 stars | 130 | 142001,10576403,4915555,0,,,Гиперион | 6 stars | 130 | 215828,13191011,12530815,1959369,
,,,Ригель | 6 stars | 130 | 150543,7500560,11624175,0,,,Нова | 6 stars | 130 | 200472,6568542,10538601,0,
,,,Тенебрис | 6 stars | 130 | 172080,7464196,4353966,735558,,,Маири | 6 stars | 130 | 200592,3597387,14148115,0,
,,,Вулкан | 6 stars | 130 | 133569,5766247,5474623,0,,,Араджи | 6 stars | 130 | 186980,3468003,8637201,0,
,,,Ашерона и Пиро | 6 stars | 130 | 193542,2175383,8608280,0,,,Сигурд | 6 stars | 130 | 216641,2336224,20524164,0,
,,,Тотем Духа Огня | 6 stars | 130,30702816,0,0,,,Тотем Духа Воды | 6 stars | 130,5815432,3427124,13282232,
,,,Тотем Духа Света | 6 stars | 130,5620415,0,0,,,,,,,

Бастион Льда (Позиция 2),Победа,+35,ПасТырЪ (130-1246917),,,,,,RPG (130-1007075),Ускорение набора энергии (36%),,,
,,,,Нанесённый урон,Полученный урон,Исцеление,,,,Нанесённый урон,Полученный урон,Исцеление,
,,,Брустар | 6 stars | 130 | 237809,16484030,19073657,0,,,Гиперион | 6 stars | 130 | 205151,6609261,14677652,1959369,
,,,Тенебрис | 6 stars | 130 | 300052,13648923,9779462,7556122,,,Нова | 6 stars | 130 | 200740,5847490,8120275,0,
,,,Солярис | 6 stars | 130 | 286113,7510647,10973583,3614621,,,Сигурд | 6 stars | 130 | 202130,5400942,18824602,0,
,,,Ригель | 6 stars | 130 | 228311,5569383,18045706,900958,,,Маири | 6 stars | 130 | 198160,3209546,20952482,0,
,,,Мор | 6 stars | 130 | 194632,4097791,18796945,512986,,,Эдем | 6 stars | 130 | 200894,2831452,26901459,0,
,,,Тотем Духа Тьмы | 6 stars | 130,42165696,0,0,,,Тотем Духа Воды | 6 stars | 130,52770662,0,29831450,
,,,Тотем Духа Света | 6 stars | 130,0,0,0,,,,,,,

Бастион Льда,Укрепление захвачено,+200
Мост Героев (Позиция 1),Победа,+35,ПасТырЪ (130-1113598),,,,,,kuralis (130-1168724),,,,
,,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство
,,,Данте | Красный +2 | 6 stars | 130 | 204819,2345915,88728,38075,Каин | 11064,,Эйден | Красный +2 | 6 stars | 130 | 197661,163512,1165781,136752,Хорус | 11064
,,,Орион | Красный +2 | 6 stars | 130 | 196220,1547057,0,0,Мерлин | 5683,,Дориан | Красный +2 | 6 stars | 130 | 189785,1798,691836,985,
,,,Август | Красный +2 | 6 stars | 130 | 184278,176893,0,0,Альбус | 11064,,Амира | Красный +2 | 6 stars | 130 | 202299,0,1165781,0,Аксель | 11064
,,,Дориан | Красный +2 | 6 stars | 130 | 164217,3567,0,0,Аксель | 9461,,Небула | Красный +2 | 6 stars | 130 | 189650,0,545471,0,
,,,Небула | Красный +2 | 6 stars | 130 | 182121,0,76582,0,,,Орион | Красный +2 | 6 stars | 130 | 207386,0,504563,0,Мерлин | 11064
,,,Хорус | Фиолетовый +3 | 6 stars | 130 | 181943,0,0,0,,,Хорус | Фиолетовый +3 | 6 stars | 130 | 181943,0,0,0,

Мост Героев (Позиция 6),Победа,+35,ПасТырЪ (130-1164856),,,,,,Oinari (130-1154548),,,,
,,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство
,,,Лара Крофт | Красный +2 | 6 stars | 130 | 221146,1017750,47531,486777,Векс | 11064,,Орион | Красный +2 | 6 stars | 130 | 207386,1689639,546098,41535,Хорус | 11064
,,,Себастьян | Красный +2 | 6 stars | 130 | 198368,677196,58524,0,Альбус | 11064,,Август | Красный +2 | 6 stars | 130 | 180517,535306,653002,39487,
,,,Галахад | Красный +2 | 6 stars | 130 | 198667,672119,759990,332953,Оливер | 11064,,Данте | Красный +2 | 6 stars | 130 | 206282,31782,449732,0,Каин | 11064
,,,Тристан | Красный +2 | 6 stars | 130 | 190608,397756,785979,0,Фенрис | 7804,,Дориан | Красный +2 | 6 stars | 130 | 188770,2202,692117,1266,
,,,Лирия | Красный +2 | 6 stars | 130 | 182941,121599,606905,21030,Бисквит | 5766,,Небула | Красный +2 | 6 stars | 130 | 189650,0,545471,0,
,,,Аксель | Фиолетовый +3 | 6 stars | 130 | 173126,0,0,0,,,Аксель | Фиолетовый +3 | 6 stars | 130 | 181943,0,0,0,

Мост Героев (Позиция 5),Победа,+35,ПасТырЪ (130-1119739),,,,,,RPG (130-1048285),,,,
,,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство
,,,Амира | Красный +2 | 6 stars | 130 | 190762,1488055,255515,0,Аксель | 9461,,Исмаил | Красный +2 | 6 stars | 130 | 204236,1103272,654007,178687,Фенрис | 11064
,,,Хайди | Красный +2 | 6 stars | 130 | 202116,1470159,65582,0,Альбус | 11064,,Хайди | Красный +2 | 6 stars | 130 | 192319,710922,671562,354651,Аксель | 11064
,,,Эйден | Красный +2 | 6 stars | 130 | 178881,489271,702667,379442,Хорус | 11064,,Дориан | Красный +2 | 6 stars | 130 | 145691,48221,551456,107826,Мерлин | 11064
,,,Полярис | Красный +2 | 6 stars | 130 | 172748,340244,138749,0,Мара | 9428,,Астарот | Красный +2 | 6 stars | 130 | 177605,8874,1243267,99576,Оливер | 11064
,,,Астарот | Красный +2 | 6 stars | 130 | 193289,17365,702667,0,Оливер | 11064,,Фафнир | Красный +2 | 6 stars | 130 | 146491,0,833263,0,
,,,Хорус | Фиолетовый +3 | 6 stars | 130 | 181943,122480,0,0,,,Хорус | Фиолетовый +3 | 6 stars | 130 | 181943,19872,0,0,

Мост Героев (Позиция 2),Победа,+35,ZOV (130-1069708),,,,,,GAPUU (130-1138628),,,,
,,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство
,,,Кира | Красный +2 | 6 stars | 130 | 179203,2057961,282963,586067,Векс | 5683,,Айрис | Красный +2 | 6 stars | 130 | 201174,741859,570455,0,
,,,Исмаил | Красный +2 | 6 stars | 130 | 196875,1072783,306726,284959,Фенрис | 6894,,Сатори | Красный +2 | 6 stars | 130 | 194677,585742,478573,87336,Мерлин | 11064
,,,Себастьян | Красный +2 | 6 stars | 130 | 185790,579959,211703,0,Альбус | 9468,,Селеста | Красный +2 | 6 stars | 130 | 202146,528152,501704,149903,Хорус | 11064
,,,Лирия | Красный +2 | 6 stars | 130 | 181026,39500,656330,4498,Оливер | 6894,,Аврора | Красный +2 | 6 stars | 130 | 203572,249633,1201686,0,Аксель | 11064
,,,Эйден | Красный +2 | 6 stars | 130 | 181887,19688,656330,172827,Хорус | 10154,,Йорген | Красный +2 | 6 stars | 130 | 155116,8666,1017473,0,
,,,Аксель | Фиолетовый +3 | 5 stars | 130 | 144927,0,0,0,,,Мерлин | Фиолетовый +3 | 6 stars | 130 | 181943,0,0,0,

Мост Героев (Позиция 3),Победа,+35,ZOV (130-1144733),,,,,,Mosida (130-1157323),,,,
,,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство
,,,Орион | Красный +2 | 6 stars | 130 | 200326,1447847,321361,321361,Бисквит | 8518,,Данте | Красный +2 | 6 stars | 130 | 204819,966851,631518,0,Каин | 11064
,,,Август | Красный +2 | 6 stars | 130 | 187082,1248140,502870,502870,Альбус | 9468,,Орион | Красный +2 | 6 stars | 130 | 196528,659628,482193,0,Хорус | 11064
,,,Гелиос | Красный +2 | 6 stars | 130 | 200781,582329,198793,198793,Мерлин | 8518,,Себастьян | Красный +2 | 6 stars | 130 | 203138,30453,607737,0,Альбус | 11064
,,,Астарот | Красный +2 | 6 stars | 130 | 192260,5301,431611,0,Оливер | 6894,,Астарот | Красный +2 | 6 stars | 130 | 185650,2804,1029225,181786,Аксель | 11064
,,,Дориан | Красный +2 | 6 stars | 130 | 192351,2307,205101,1128,Аксель | 8518,,Небула | Красный +2 | 6 stars | 130 | 185245,0,541073,0,
,,,Хорус | Фиолетовый +3 | 5 stars | 130 | 171933,5822,0,0,,,Аксель | Фиолетовый +3 | 6 stars | 130 | 181943,0,0,0,

Мост Героев (Позиция 4),Победа,+35,ZOV (130-1097502),,,,,,Malalkree (130-1105428),,,,
,,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство
,,,Хайди | Красный +2 | 6 stars | 130 | 177005,2597288,0,0,Альбус | 9468,,Аврора | Красный +2 | 6 stars | 130 | 205618,1185744,1134600,0,Каин | 11064
,,,Данте | Красный +2 | 6 stars | 130 | 197003,587750,578208,0,Каин | 8518,,Цин Мао | Красный +2 | 6 stars | 130 | 198079,304558,536090,0,Фенрис | 11064
,,,Небула | Красный +2 | 6 stars | 130 | 181950,112536,503751,0,,,Корнелиус | Красный +2 | 6 stars | 130 | 178472,208770,481471,0,
,,,Айзек | Красный +2 | 6 stars | 130 | 186175,112293,380402,0,Оливер | 6894,,Себастьян | Красный +2 | 6 stars | 130 | 170682,119659,488387,0,
,,,Селеста | Красный +2 | 6 stars | 130 | 183436,40385,359442,208768,Бисквит | 8518,,Марта | Красный +2 | 6 stars | 130 | 170634,3072,813842,199453,Аксель | 11064
,,,Хорус | Фиолетовый +3 | 5 stars | 130 | 171933,4138,0,0,,,Аксель | Фиолетовый +3 | 6 stars | 130 | 181943,0,0,0,

Мост Героев,Укрепление захвачено,+210
Храм Солнца (Позиция 1),Победа,+35,Rom (130-911337),,,,,,AKATUKI (130-998987),Снижение входящего урона (20%),,,
,,,,Нанесённый урон,Полученный урон,Исцеление,,,,Нанесённый урон,Полученный урон,Исцеление,
,,,Гиперион | 6 stars | 130 | 208555,22769008,18476918,3918738,,,Солярис | 6 stars | 130 | 260344,10760035,13430783,3337830,
,,,Сигурд | 6 stars | 130 | 200099,9097210,25469291,0,,,Араджи | 6 stars | 130 | 201341,5977793,9492684,0,
,,,Араджи | 6 stars | 130 | 166767,7704951,16026037,0,,,Игнис | 6 stars | 130 | 168023,4785076,11319405,0,
,,,Нова | 6 stars | 130 | 190528,5393084,8485730,0,,,Молох | 6 stars | 130 | 167095,4441372,13343249,0,
,,,Маири | 6 stars | 102 | 145388,2852664,8631568,0,,,Ригель | 6 stars | 130 | 202184,3191530,13439592,0,
,,,Тотем Духа Воды | 6 stars | 130,14790546,12851718,28873882,,,Тотем Духа Огня | 6 stars | 130,47008677,0,3900000,
,,,,,,,,,Тотем Духа Света | 6 stars | 120,13776779,1581750,0,

Храм Солнца (Позиция 2),Победа,+35,Kamul27rus (130-1207856),,,,,,RPG (130-1066476),Снижение входящего урона (20%),,,
,,,,Нанесённый урон,Полученный урон,Исцеление,,,,Нанесённый урон,Полученный урон,Исцеление,
,,,Солярис | 6 stars | 130 | 302034,20479051,10529688,7788368,,,Солярис | 6 stars | 130 | 255066,17255060,13679724,912951,
,,,Тенебрис | 6 stars | 130 | 302329,15986556,4471149,6305152,,,Тенебрис | 6 stars | 130 | 248551,4500702,14346648,5550905,
,,,Ригель | 6 stars | 130 | 225608,4993591,21971850,1070856,,,Ияри | 6 stars | 130 | 187612,4321575,17173189,3751615,
,,,Мор | 6 stars | 128 | 187529,4032231,12000597,229227,,,Амон | 6 stars | 130 | 187594,3848295,9699059,0,
,,,Ияри | 6 stars | 128 | 190356,3234308,9572060,4988709,,,Ригель | 6 stars | 130 | 187653,3165153,15915297,0,
,,,Тотем Духа Тьмы | 5 stars | 130,9204662,2284750,0,,,Тотем Духа Света | 6 stars | 80,27739309,0,3176250,
,,,Тотем Духа Света | 6 stars | 130,12883518,0,0,,,,,,,

Храм Солнца (Позиция 3),Победа,+35,Виларт (130-944474),,,,,,Team SA two 3 (130-1147925),Снижение входящего урона (20%),,,
,,,,Нанесённый урон,Полученный урон,Исцеление,,,,Нанесённый урон,Полученный урон,Исцеление,
,,,Молох | 6 stars | 130 | 196587,12611790,12176784,0,,,Гиперион | 6 stars | 130 | 211004,14872714,18236572,1916236,
,,,Араджи | 6 stars | 130 | 197135,6828470,8511558,0,,,Солярис | 6 stars | 130 | 287234,11334970,13001879,881343,
,,,Тенебрис | 6 stars | 130 | 272150,5776397,6275936,2705823,,,Нова | 6 stars | 130 | 211005,4276685,8265424,0,
,,,Вулкан | 6 stars | 100 | 84138,3028121,3348179,0,,,Сигурд | 6 stars | 130 | 211004,2677132,16579667,0,
,,,Солярис | 6 stars | 100 | 194464,1114125,9010545,739590,,,Ияри | 6 stars | 130 | 227678,2048888,19072786,3057129,
,,,Тотем Духа Огня | 6 stars | 130,45797425,0,0,,,Тотем Духа Света | 4 stars | 100,1835745,0,605000,
,,,,,,,,,Тотем Духа Воды | 6 stars | 124,2276868,0,10420689,

Храм Солнца (Позиция 4),Победа,+35,Алый Стервь (130-1082205),,,,,,kuralis (130-1219465),Снижение входящего урона (20%),,,
,,,,Нанесённый урон,Полученный урон,Исцеление,,,,Нанесённый урон,Полученный урон,Исцеление,
,,,Молох | 6 stars | 130 | 220773,35285645,11953813,0,,,Солярис | 6 stars | 130 | 312498,10287882,11587822,944260,
,,,Тенебрис | 6 stars | 130 | 242935,9740699,7770653,860178,,,Авалон | 6 stars | 130 | 218704,2999187,17228002,0,
,,,Эдем | 6 stars | 130 | 185973,6531247,11409949,0,,,Ригель | 6 stars | 130 | 267419,2668563,15507821,0,
,,,Араджи | 6 stars | 130 | 220682,5067835,7440332,0,,,Вердок и Фито | 6 stars | 130 | 202113,2357152,17228002,0,
,,,Игнис | 6 stars | 130 | 211842,4462578,0,0,,,Эдем | 6 stars | 130 | 218731,1081361,16437703,0,
,,,Тотем Духа Огня | 6 stars | 122,25580613,0,0,,,Тотем Духа Света | 6 stars | 130,0,0,0,
,,,,,,,,,Тотем Духа Земли | 6 stars | 130,19180602,11527809,0,

Храм Солнца,Укрепление захвачено,+200
Цитадель (Позиция 8),Победа,+35,3ve (130-1037543),,,,,,Hal Ulala (130-1081140),,,,
,,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство
,,,Лара Крофт | Красный +2 | 5 stars | 130 | 208942,1434624,14286,368213,Векс | 6940,,Селеста | Красный +2 | 6 stars | 130 | 167814,494826,623215,285743,
,,,Себастьян | Красный +2 | 6 stars | 130 | 168686,1141656,4459,0,Альбус | 11064,,Айзек | Красный +2 | 6 stars | 130 | 177475,298736,439847,0,Мара | 11064
,,,Ясмин | Красный +2 | 6 stars | 130 | 189920,480719,17461,0,Фенрис | 9428,,Данте | Красный +2 | 6 stars | 130 | 203935,234426,432057,0,Каин | 11064
,,,Эйден | Красный +2 | 6 stars | 130 | 132439,189581,609715,94293,Хорус | 4783,,Себастьян | Красный +2 | 6 stars | 130 | 168715,230516,597238,0,Оливер | 11064
,,,Лирия | Красный +2 | 6 stars | 130 | 182619,124035,651007,14706,Оливер | 9428,,Астарот | Красный +2 | 6 stars | 130 | 181258,38424,1278258,216538,Бисквит | 11064
,,,Оливер | Фиолетовый +3 | 6 stars | 130 | 154937,0,0,149221,,,Аксель | Фиолетовый +3 | 6 stars | 130 | 181943,0,0,0,

Цитадель (Позиция 1),Победа,+35,3ve (130-885808),,,,,,BRJ (130-1163691),,,,
,,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство
,,,Данте | Красный +2 | 6 stars | 130 | 156184,1159683,315567,0,Фенрис | 9428,,Ясмин | Красный +2 | 6 stars | 130 | 204123,286146,410325,0,Каин | 9692
,,,Орион | Красный +2 | 6 stars | 130 | 148913,1117889,161640,42172,Мара | 6414,,Айрис | Красный +2 | 6 stars | 130 | 194797,227157,457690,0,Альбус | 11064
,,,Август | Красный +2 | 6 stars | 130 | 123208,273890,269181,105831,Альбус | 11064,,Аврора | Красный +2 | 6 stars | 130 | 189727,125034,861321,0,Оливер | 10112
,,,Небула | Красный +2 | 6 stars | 130 | 188469,18374,0,0,Каин | 6074,,Айзек | Красный +2 | 6 stars | 130 | 187534,108051,412687,0,Аксель | 11064
,,,Дориан | Красный +1 | 6 stars | 130 | 87091,1599,0,0,Аксель | 8518,,К'арх | Красный +2 | 6 stars | 130 | 205567,0,429412,0,Векс | 7158
,,,Альбус | Фиолетовый +3 | 6 stars | 130 | 181943,0,0,0,,,Аксель | Фиолетовый +3 | 6 stars | 130 | 181943,0,0,0,

Цитадель (Позиция 3),Победа,+35,Santa (130-1102240),,,,,,pphrla (130-1192055),,,,
,,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство
,,,Кира | Красный +2 | 6 stars | 130 | 183926,2565349,292639,406369,Векс | 7191,,Кира | Красный +2 | 6 stars | 130 | 204474,760191,574542,74940,Векс | 11064
,,,Себастьян | Красный +2 | 6 stars | 130 | 181249,830378,203475,0,Альбус | 10154,,Корвус | Красный +2 | 6 stars | 130 | 200913,272912,1037067,0,Альбус | 11064
,,,Хайди | Красный +2 | 6 stars | 130 | 193032,255041,27420,0,Каин | 4123,,Селеста | Красный +2 | 6 stars | 130 | 202146,238182,417897,0,Аксель | 11064
,,,Лирия | Красный +2 | 6 stars | 130 | 179964,239560,157035,6192,Бисквит | 6894,,К'арх | Красный +2 | 6 stars | 130 | 200021,90242,407332,0,Фенрис | 11064
,,,Корвус | Красный +2 | 6 stars | 130 | 192136,186843,718402,178878,Оливер | 8518,,Морриган | Красный +2 | 6 stars | 130 | 202558,37444,1879083,526591,Оливер | 11064
,,,Альбус | Фиолетовый +3 | 5 stars | 130 | 171933,238750,0,0,,,Аксель | Фиолетовый +3 | 6 stars | 130 | 181943,0,0,0,

