Укрепление,Результат,Очки,Атакующий,,,,,,Защищающийся,,,
Мост (Позиция 6),Победа,+35,3ve (130-941011),,,,,,TarzanAdy (130-1100124),,,,
,,,,Нанесённый урон,Полученный урон,Исцеление,,,,Нанесённый урон,Полученный урон,Исцеление,
,,,Эдем | 6 stars | 130 | 187269,17847322,4271459,0,,,Солярис | 6 stars | 130 | 241013,17467936,13017309,881343,
,,,Гиперион | 6 stars | 130 | 189366,17488136,4155811,3918738,,,Нова | 6 stars | 130 | 199922,6194377,8639183,0,
,,,Нова | 6 stars | 130 | 178440,9554709,9251764,0,,,Тенебрис | 6 stars | 130 | 259347,3089100,9245469,1549280,
,,,Сигурд | 6 stars | 130 | 209838,7383179,21676945,0,,,Сигурд | 6 stars | 130 | 199921,2858736,19700239,0,
,,,Маири | 6 stars | 130 | 176098,4906564,9136888,0,,,Гиперион | 6 stars | 130 | 199921,2399640,14950392,2626004,
,,,Тотем Духа Воды | 6 stars | 130,8372682,0,32553959,,,Тотем Духа Воды | 3 stars | 130,16483078,0,4875100,

Мост (Позиция 2),Победа,+35,Виларт (130-912269),,,,,,GAPUU (130-1155638),,,,
,,,,Нанесённый урон,Полученный урон,Исцеление,,,,Нанесённый урон,Полученный урон,Исцеление,
,,,Ашерона и Пиро | 6 stars | 130 | 194449,12090271,11177798,0,,,Сигурд | 6 stars | 130 | 228634,8284796,20397858,0,
,,,Гиперион | 6 stars | 130 | 209210,11108970,4271240,1921419,,,Нова | 6 stars | 130 | 201159,7304369,9262696,0,
,,,Нова | 6 stars | 130 | 208074,9548478,9667833,0,,,Солярис | 6 stars | 130 | 300816,2172329,12585099,881343,
,,,Игнис | 6 stars | 125 | 115681,2736767,1028419,0,,,Маири | 6 stars | 130 | 212515,2090200,16361238,0,
,,,Маири | 6 stars | 130 | 184855,2596410,13172132,0,,,Гиперион | 6 stars | 130 | 212514,1959368,18795350,1959369,
,,,Тотем Духа Воды | 6 stars | 130,36140153,0,12595212,,,Тотем Духа Воды | 6 stars | 130,17506360,0,16740767,
,,,Тотем Духа Огня | 6 stars | 130,3181192,0,0,,,,,,,

Мост (Позиция 1),Победа,+35,Оди (130-985973),,,,,,Erwin (130-1229474),,,,
,,,,Нанесённый урон,Полученный урон,Исцеление,,,,Нанесённый урон,Полученный урон,Исцеление,
,,,Солярис | 6 stars | 130 | 293513,32343434,11587821,1154622,,,Брустар | 6 stars | 130 | 250851,11077481,18381843,0,
,,,Брустар | 6 stars | 130 | 237222,9014764,19237769,0,,,Эдем | 6 stars | 130 | 220795,10994172,17957921,0,
,,,Амон | 6 stars | 86 | 98599,6756771,4928880,0,,,Ангус | 6 stars | 130 | 237551,4070600,22471284,0,
,,,Керос | 6 stars | 130 | 230668,5339542,12420908,0,,,Тенебрис | 6 stars | 130 | 318290,3089100,14375907,3446632,
,,,Араджи | 6 stars | 124 | 125971,5175567,7571542,0,,,Вердок и Фито | 6 stars | 130 | 201987,2274104,18702341,0,
,,,Тотем Духа Тьмы | 6 stars | 130,33668081,0,0,,,Тотем Духа Тьмы | 6 stars | 130,7710090,5140687,0,
,,,Тотем Духа Света | 6 stars | 130,10331624,0,0,,,Тотем Духа Земли | 6 stars | 130,16531373,7766241,6352723,

Мост (Позиция 5),Победа,+35,Тема (130-1047137),,,,,,Malalkree (130-1005325),,,,
,,,,Нанесённый урон,Полученный урон,Исцеление,,,,Нанесённый урон,Полученный урон,Исцеление,
,,,Керос | 6 stars | 130 | 218243,9802902,8254214,1682964,,,Араджи | 6 stars | 130 | 200009,13291488,7440331,0,
,,,Брустар | 6 stars | 130 | 228889,8696622,17982711,308256,,,Эдем | 6 stars | 130 | 209419,13141316,13142447,0,
,,,Эдем | 6 stars | 130 | 152723,7182414,6047408,1495524,,,Ангус | 6 stars | 130 | 201246,9365620,15987122,0,
,,,Мор | 6 stars | 130 | 150809,5797414,15722694,536011,,,Сильва | 6 stars | 130 | 186091,5332531,10621367,0,
,,,Тенебрис | 6 stars | 130 | 296473,3120081,5110126,2988826,,,Авалон | 6 stars | 130 | 208560,3301900,13731321,0,
,,,Тотем Духа Тьмы | 6 stars | 130,33154377,0,3120000,,,Тотем Духа Земли | 4 stars | 114,8684298,5492859,0,

Мост (Позиция 3),Поражение,+27,3ve (130-793419),,,,,,CFJSJH2-1-2 (130-1155339),,,,
,,,,Нанесённый урон,Полученный урон,Исцеление,,,,Нанесённый урон,Полученный урон,Исцеление,
,,,Ашерона и Пиро | 6 stars | 124 | 192234,10030147,15079082,0,,,Солярис | 6 stars | 130 | 292404,19062940,12326836,3465105,
,,,Тенебрис | 6 stars | 130 | 165048,8719059,13399348,2820524,,,Сильва | 6 stars | 130 | 213961,8962359,9603783,0,
,,,Араджи | 6 stars | 130 | 195470,8652857,9066496,0,,,Эдем | 6 stars | 130 | 214031,8565247,6323959,0,
,,,Молох | 6 stars | 130 | 132992,4930137,8739257,0,,,Ригель | 6 stars | 130 | 224469,7928718,15547568,0,
,,,Керос | 6 stars | 100 | 107675,1862800,6655862,0,,,Авалон | 6 stars | 130 | 210474,3243693,16383098,0,
,,,Тотем Духа Огня | 6 stars | 130,20901750,0,6625313,,,Тотем Духа Земли | 6 stars | 113,1067999,6923514,0,
,,,Тотем Духа Тьмы | 1 stars | 127,6972227,0,0,,,Тотем Духа Света | 6 stars | 68,4109089,0,0,

Мост (Позиция 3),Победа,+8,Angel (130-822914),,,,,,CFJSJH2-1-2 (130-1155339),,,,
,,,,Нанесённый урон,Полученный урон,Исцеление,,,,Нанесённый урон,Полученный урон,Исцеление,
,,,Молох | 6 stars | 129 | 158980,4339060,2808372,0,,,Сильва | 6 stars | 130 | 213961,1564638,3931287,0,
,,,Вулкан | 6 stars | 128 | 151491,3250872,0,0,,,Эдем | 6 stars | 130 | 214031,1243734,9632142,0,
,,,Араджи | 6 stars | 130 | 177711,2792537,0,0,,,Ригель | 6 stars | 130 | 224469,0,0,0,
,,,Тенебрис | 6 stars | 130 | 186387,1855966,0,0,,,Солярис | 6 stars | 130 | 292404,0,0,0,
,,,Игнис | 6 stars | 128 | 148345,1324994,0,0,,,Авалон | 6 stars | 130 | 210474,0,0,0,
,,,Тотем Духа Огня | 2 stars | 105,0,0,0,,,,,,,

Мост (Позиция 4),Победа,+35,Старый (130-954490),,,,,,Tron (130-1021311),,,,
,,,,Нанесённый урон,Полученный урон,Исцеление,,,,Нанесённый урон,Полученный урон,Исцеление,
,,,Солярис | 6 stars | 130 | 245230,29139212,13932151,3280646,,,Эдем | 6 stars | 130 | 207540,12403205,14073672,0,
