Укрепление,Результат,Очки,Атакующий,,,,,,Защищающийся,,,
,,,Керос | 6 stars | 130 | 250619,3115848,13681481,0,,,Игнис | 6 stars | 130 | 158258,3902611,18037764,0,
,,,Тотем Духа Воды | 6 stars | 130,24903156,0,11961400,,,Тотем Духа Света | 6 stars | 125,0,0,0,
,,,Тотем Духа Тьмы | 6 stars | 130,26839201,0,1769622,,,Тотем Духа Огня | 6 stars | 109,32817388,0,0,

Бастион Огня (Позиция 3),Поражение,+32,Hal Ulala (130-1077681),,,,,,Бальдр (130-1120046),Увеличение здоровья (112%),,,
,,,,Нанесённый урон,Полученный урон,Исцеление,,,,Нанесённый урон,Полученный урон,Исцеление,
,,,Тенебрис | 6 stars | 130 | 265959,34720228,22323900,8241485,,,Игнис | 6 stars | 130 | 216366,5498390,13870524,0,
,,,Гиперион | 6 stars | 130 | 209540,23693852,17529882,1959369,,,Вулкан | 6 stars | 130 | 232098,4592928,14758005,0,
,,,Сигурд | 6 stars | 130 | 207648,12342778,33516085,0,,,Ашерона и Пиро | 6 stars | 130 | 206881,3320011,20731602,0,
,,,Нова | 6 stars | 130 | 197808,6058324,9469901,0,,,Молох | 6 stars | 130 | 240887,2031507,26122085,0,
,,,Маири | 6 stars | 130 | 196726,3636059,12171070,0,,,Араджи | 6 stars | 130 | 223814,1961481,15773503,0,
,,,Тотем Духа Воды | 6 stars | 130,10804478,0,28520936,,,Тотем Духа Огня | 6 stars | 130,77606521,0,2340000,

Призма эфира (Позиция 5),Победа,+35,Mosida (130-921887),,,,,,NAGIBATOR (130-852523),,,,
,,,,Нанесённый урон,Полученный урон,Исцеление,,,,Нанесённый урон,Полученный урон,Исцеление,
,,,Тенебрис | 6 stars | 130 | 216833,17255806,6120168,7002094,,,Тенебрис | 6 stars | 126 | 253017,10304324,12149063,4357448,
,,,Гиперион | 6 stars | 130 | 176640,12978303,6065074,3335040,,,Молох | 6 stars | 130 | 181724,6533845,13000751,0,
,,,Нова | 6 stars | 130 | 188390,9123096,9313028,0,,,Вулкан | 6 stars | 109 | 131692,2737666,5159941,0,
,,,Араджи | 6 stars | 130 | 167053,4862901,7177218,0,,,Араджи | 6 stars | 120 | 170096,1688924,8400714,0,
,,,Маири | 6 stars | 130 | 172971,3917891,15844013,0,,,Гиперион | 6 stars | 105 | 115994,1177874,9473854,840514,
,,,Тотем Духа Воды | 6 stars | 100,1338088,0,8332340,,,Тотем Духа Огня | 6 stars | 98,22076868,1291762,1176000,

Призма эфира (Позиция 2),Победа,+35,AKATUKI (130-914760),,,,,,Старый (130-954490),,,,
,,,,Нанесённый урон,Полученный урон,Исцеление,,,,Нанесённый урон,Полученный урон,Исцеление,
,,,Тенебрис | 6 stars | 130 | 231177,11973569,8316995,6104972,,,Молох | 6 stars | 130 | 167400,9674407,12121473,0,
,,,Брустар | 6 stars | 130 | 202030,11195397,14796426,0,,,Араджи | 6 stars | 130 | 191538,7719485,7938834,0,
,,,Вулкан | 6 stars | 130 | 146435,6406655,7948959,0,,,Ияри | 6 stars | 130 | 199844,2597204,13466390,1768592,
,,,Игнис | 6 stars | 130 | 168023,6177731,6868851,0,,,Солярис | 6 stars | 130 | 245230,2117479,11587822,733705,
,,,Молох | 6 stars | 130 | 167095,2539500,11862684,0,,,Игнис | 6 stars | 130 | 150478,1998490,9336555,0,
,,,Тотем Духа Огня | 6 stars | 130,15426853,0,3120000,,,Тотем Духа Огня | 5 stars | 115,22743168,0,0,
,,,Тотем Духа Тьмы | 4 stars | 103,731369,724090,0,,,Тотем Духа Света | 5 stars | 130,3667772,0,0,

Источник Стихий (Позиция 3),Поражение,+7,Xzypher (130-646475),,,,,,Старый (130-890745),,,,
,,,,Нанесённый урон,Полученный урон,Исцеление,,,,Нанесённый урон,Полученный урон,Исцеление,
,,,Авалон | 6 stars | 130 | 120928,3550865,10003020,0,,,Эдем | 6 stars | 130 | 141392,22114716,2920097,0,
,,,Нова | 6 stars | 130 | 164009,2807179,7003530,0,,,Гиперион | 6 stars | 130 | 195666,18521404,1233322,1959369,
,,,Сигурд | 6 stars | 125 | 98298,2769414,9077294,0,,,Маири | 6 stars | 130 | 146401,3187625,9498852,0,
,,,Гиперион | 6 stars | 130 | 173322,2428497,10124322,761036,,,Сигурд | 6 stars | 130 | 203752,0,0,0,
,,,Маири | 6 stars | 120 | 89918,1078236,7615579,0,,,Нова | 6 stars | 130 | 203534,0,0,0,
,,,Тотем Духа Воды | 1 stars | 43,1018080,0,562380,,,,,,,

Алтарь Жизни (Позиция 4),Поражение,+22,BRJ (130-1018427),,,,,,3ve (130-786905),,,,
,,,,Нанесённый урон,Полученный урон,Исцеление,,,,Нанесённый урон,Полученный урон,Исцеление,
,,,Гиперион | 6 stars | 130 | 172253,10653415,14450015,1360164,,,Араджи | 6 stars | 130 | 195470,7283546,3749390,0,
,,,Тенебрис | 6 stars | 130 | 271631,9237849,11659428,5235752,,,Керос | 6 stars | 100 | 107675,4130124,5097065,0,
,,,Нова | 6 stars | 130 | 170854,3935495,8409293,0,,,Тенебрис | 6 stars | 130 | 165048,3684945,2855122,1378494,
,,,Сигурд | 6 stars | 130 | 200883,2100226,16050256,0,,,Ашерона и Пиро | 6 stars | 119 | 188658,3575708,11611700,0,
,,,Солярис | 6 stars | 130 | 202806,1411246,11947916,881343,,,Молох | 6 stars | 126 | 130054,1761120,8495426,0,
,,,Тотем Духа Воды | 2 stars | 112,4470472,984200,1656350,,,Тотем Духа Тьмы | 1 stars | 127,2857500,0,0,
,,,,,,,,,Тотем Духа Огня | 6 stars | 130,40208165,0,4424052,

Алтарь Жизни (Позиция 4),Поражение,+7,BRJ (130-690616),,,,,,3ve (130-786905),,,,
,,,,Нанесённый урон,Полученный урон,Исцеление,,,,Нанесённый урон,Полученный урон,Исцеление,
,,,Эдем | 6 stars | 130 | 159372,5475795,11122403,0,,,Тенебрис | 6 stars | 130 | 165048,23680003,3971789,4803452,
,,,Араджи | 6 stars | 130 | 149592,4970405,6641207,0,,,Араджи | 6 stars | 130 | 195470,17309739,6715566,0,
,,,Маири | 6 stars | 120 | 118397,1164263,7258971,0,,,Керос | 6 stars | 100 | 107675,1265854,2548549,0,
,,,Молох | 6 stars | 130 | 133976,1023346,8524561,0,,,Молох | 6 stars | 126 | 130054,0,0,0,
,,,Ангус | 6 stars | 130 | 129279,602095,10902298,0,,,Ашерона и Пиро | 6 stars | 119 | 188658,0,0,0,
,,,,,,,,,Тотем Духа Тьмы | 1 stars | 127,2193844,0,0,

Мост Героев (Позиция 1),Победа,+35,RPG (130-1135741),,,,,,ПасТырЪ (130-1133670),,,,
,,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство
,,,Каскад | Красный +2 | 6 stars | 130 | 181087,2144576,73709,0,Аксель | 11064,,Лара Крофт | Красный +2 | 6 stars | 130 | 221146,793444,726929,552633,Векс | 11064
,,,Криста | Красный +2 | 6 stars | 130 | 185957,1801082,447977,734869,Бисквит | 11064,,Себастьян | Красный +2 | 6 stars | 130 | 198368,321888,648021,0,Альбус | 11064
,,,Орион | Красный +2 | 6 stars | 130 | 195102,1489784,162861,0,Хорус | 11064,,Лирия | Красный +2 | 6 stars | 130 | 187709,142749,2230758,144613,Оливер | 11064
,,,Гелиос | Красный +2 | 6 stars | 130 | 192029,1274293,138296,0,Мерлин | 11064,,Эйден | Красный +2 | 6 stars | 130 | 178881,79978,2230758,132079,Хорус | 11064
,,,Небула | Красный +2 | 6 stars | 130 | 199623,0,515216,0,Каин | 11064,,Фафнир | Красный +2 | 6 stars | 130 | 174440,0,874392,0,Мара | 9428
,,,Хорус | Фиолетовый +3 | 6 stars | 130 | 181943,1123,0,0,,,Аксель | Фиолетовый +3 | 6 stars | 130 | 173126,0,0,0,

Академия Магов (Позиция 1),Победа,+35,Erwin (130-1084068),,,,,,3ve (130-1067048),,,,
,,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство
,,,Айрис | Красный +2 | 6 stars | 130 | 193602,6638456,509906,0,Бисквит | 11064,,Себастьян | Красный +2 | 6 stars | 130 | 168686,1752638,1634313,280308,Альбус | 11064
,,,Айзек | Красный +2 | 6 stars | 130 | 178047,1551289,678797,0,Мара | 11064,,Лирия | Красный +2 | 6 stars | 130 | 182619,756115,4963034,1003397,Оливер | 9428
,,,Гелиос | Красный +2 | 6 stars | 130 | 180332,1156072,542397,0,Мерлин | 11064,,Лара Крофт | Красный +2 | 5 stars | 130 | 208868,730366,808904,450919,Векс | 6874
,,,Астарот | Красный +2 | 6 stars | 130 | 182134,133248,1115919,104307,Оливер | 11064,,Ясмин | Красный +2 | 6 stars | 130 | 189920,128549,392645,0,Фенрис | 9428
,,,Марта | Красный +2 | 6 stars | 130 | 168010,61851,561788,2761444,Аксель | 11064,,Марта | Красный +2 | 6 stars | 130 | 162018,41139,1742020,875778,Аксель | 8518
,,,Аксель | Фиолетовый +3 | 6 stars | 130 | 181943,0,0,0,,,Оливер | Фиолетовый +3 | 6 stars | 130 | 154937,0,0,1054419,

Мост Героев (Позиция 5),Победа,+35,The Suicide Kid (130-1005583),,,,,,Тема (130-997477),,,,
,,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство
,,,Август | Красный +2 | 5 stars | 130 | 174608,1649233,245943,0,Альбус | 11064,,Кира | Красный +2 | 6 stars | 130 | 174941,1784830,365052,47615,Векс | 3973
,,,Орион | Красный +2 | 6 stars | 130 | 179841,1637119,336204,0,Мерлин | 11064,,Морриган | Красный +2 | 6 stars | 130 | 173952,730122,883308,70008,Оливер | 5834
,,,Электра фон Грейв | Красный +2 | 5 stars | 130 | 128385,129302,1592890,555106,Оливер | 11064,,Лирия | Красный +2 | 6 stars | 130 | 168383,717263,921355,41821,Фенрис | 3973
,,,Эйден | Красный +2 | 6 stars | 130 | 175485,86720,1592890,147471,Хорус | 11064,,Корвус | Красный +2 | 6 stars | 130 | 186698,570390,1005487,0,Бисквит | 3973
,,,Небула | Красный +2 | 6 stars | 130 | 165321,0,222556,99284,Каин | 11064,,Себастьян | Красный +2 | 6 stars | 130 | 148576,187878,327172,0,
,,,Хорус | Фиолетовый +3 | 6 stars | 130 | 181943,0,0,0,,,Аксель | Фиолетовый +3 | 5 stars | 130 | 144927,0,0,0,

Мост Героев,Укрепление захвачено,+210
Призма эфира (Позиция 4),Победа,+35,masked ayame (130-1100335),,,,,,2 718 (130-822394),,,,
,,,,Нанесённый урон,Полученный урон,Исцеление,,,,Нанесённый урон,Полученный урон,Исцеление,
,,,Солярис | 6 stars | 130 | 237314,12733144,12913867,927973,,,Молох | 6 stars | 126 | 167948,4564241,13369118,0,
,,,Тенебрис | 6 stars | 130 | 271125,9928243,11629373,1889658,,,Игнис | 6 stars | 101 | 141566,4562697,8822300,0,
,,,Керос | 6 stars | 130 | 187011,8366474,9865363,0,,,Ашерона и Пиро | 6 stars | 111 | 164002,3510752,9366330,0,
,,,Ияри | 6 stars | 130 | 199134,3265344,11768995,1146070,,,Араджи | 6 stars | 115 | 165812,3311130,7037140,0,
,,,Брустар | 6 stars | 130 | 205751,1858842,15370850,0,,,Солярис | 6 stars | 114 | 183066,1543075,10281291,784568,
,,,Тотем Духа Тьмы | 2 stars | 105,10543416,0,0,,,Тотем Духа Огня | 5 stars | 122,44056553,0,976000,
,,,Тотем Духа Света | 3 stars | 91,2180716,0,0,,,,,,,

Источник Стихий (Позиция 3),Победа,+11,Tron (130-833422),,,,,,Старый (130-890745),,,,
,,,,Нанесённый урон,Полученный урон,Исцеление,,,,Нанесённый урон,Полученный урон,Исцеление,
,,,Араджи | 6 stars | 130 | 187697,8147105,6635582,0,,,Гиперион | 6 stars | 130 | 195666,18692032,8594854,1959369,
,,,Молох | 6 stars | 120 | 115498,3263622,5704393,0,,,Эдем | 6 stars | 130 | 141392,9649235,9644569,0,
,,,Солярис | 6 stars | 130 | 281595,1647272,3772801,2874638,,,Сигурд | 6 stars | 130 | 203752,0,0,0,
,,,Ияри | 6 stars | 110 | 113397,1616153,5242328,0,,,Нова | 6 stars | 130 | 203534,0,0,0,
,,,Игнис | 6 stars | 123 | 135235,1546126,6986163,0,,,Маири | 6 stars | 130 | 146401,0,0,0,
,,,Тотем Духа Огня | 4 stars | 85,2019145,0,544000,,,,,,,
,,,Тотем Духа Света | 4 stars | 40,0,0,0,,,,,,,

Источник Стихий,Укрепление захвачено,+140
Храм Солнца (Позиция 3),Победа,+35,Malalkree (130-1005325),,,,,,viktori (130-724500),Снижение входящего урона (26%),,,
,,,,Нанесённый урон,Полученный урон,Исцеление,,,,Нанесённый урон,Полученный урон,Исцеление,
,,,Ангус | 6 stars | 130 | 201246,17086756,15987121,0,,,Араджи | 6 stars | 130 | 169081,18959788,8177831,0,
,,,Эдем | 6 stars | 130 | 209419,8411999,8566836,0,,,Солярис | 6 stars | 130 | 192450,12939910,10496910,3057473,
,,,Араджи | 6 stars | 130 | 200009,7654317,7440332,0,,,Ригель | 6 stars | 130 | 153686,7494006,14608158,0,
,,,Сильва | 6 stars | 130 | 186091,4529683,5793912,0,,,Амон | 6 stars | 130 | 87604,3023330,6328199,0,
,,,Авалон | 6 stars | 130 | 208560,2913864,13731321,0,,,Ияри | 6 stars | 130 | 121679,2487239,8928175,2201418,
,,,Тотем Духа Земли | 4 stars | 114,7942654,7788766,0,,,Тотем Духа Света | 3 stars | 91,12129752,0,0,

Храм Солнца (Позиция 1),Победа,+35,Hachi (130-1255788),,,,,,Nergal (130-1221104),Снижение входящего урона (26%),,,
,,,,Нанесённый урон,Полученный урон,Исцеление,,,,Нанесённый урон,Полученный урон,Исцеление,
,,,Солярис | 6 stars | 130 | 312498,11830537,10802788,1745165,,,Ригель | 6 stars | 130 | 227218,8769724,16504080,0,
,,,Араджи | 6 stars | 130 | 219688,6934076,7938833,0,,,Ияри | 6 stars | 115 | 187744,3510797,10897654,1327605,
,,,Ригель | 6 stars | 130 | 267419,5321967,16472041,0,,,Тенебрис | 6 stars | 130 | 295400,2988752,12752902,1733991,
,,,Молох | 6 stars | 130 | 236447,3785435,14220021,0,,,Солярис | 6 stars | 130 | 302276,2196132,12629532,944260,
,,,Игнис | 6 stars | 130 | 219736,3357380,9706113,0,,,Мор | 6 stars | 120 | 208466,1543821,16220076,0,
,,,Тотем Духа Огня | 6 stars | 130,37774849,0,3120000,,,Тотем Духа Света | 6 stars | 130,40130570,0,0,
,,,Тотем Духа Света | 6 stars | 130,0,0,0,,,Тотем Духа Тьмы | 6 stars | 130,0,0,0,

Алтарь Жизни (Позиция 5),Поражение,+28,Team SA two 3 (130-1112621),,,,,,Алый Стервь (130-1082205),,,,
,,,,Нанесённый урон,Полученный урон,Исцеление,,,,Нанесённый урон,Полученный урон,Исцеление,
,,,Тенебрис | 6 stars | 130 | 284795,18611918,18414108,8466419,,,Тенебрис | 6 stars | 130 | 242935,22795844,8888312,7290981,
,,,Гиперион | 6 stars | 130 | 211004,13473882,15650420,1916236,,,Эдем | 6 stars | 130 | 185973,19513968,12343277,0,
,,,Нова | 6 stars | 130 | 211005,9633001,9761671,0,,,Молох | 6 stars | 130 | 220773,10521654,11953813,0,
,,,Сигурд | 6 stars | 130 | 211004,2697831,17817910,0,,,Араджи | 6 stars | 130 | 220682,3869592,7440332,0,
,,,Эдем | 6 stars | 130 | 194813,956960,18616485,0,,,Игнис | 6 stars | 130 | 211842,3755147,4747858,0,
,,,Тотем Духа Воды | 6 stars | 124,0,0,14161340,,,Тотем Духа Огня | 6 stars | 122,19804389,0,0,

Призма эфира (Позиция 1),Победа,+35,Team SA two 3 (130-1084077),,,,,,Angel (130-822789),,,,
,,,,Нанесённый урон,Полученный урон,Исцеление,,,,Нанесённый урон,Полученный урон,Исцеление,
,,,Солярис | 6 stars | 130 | 287234,12004604,11587822,800905,,,Тенебрис | 6 stars | 130 | 186387,22848442,12247482,6389655,
,,,Араджи | 6 stars | 130 | 195750,7319381,7938834,0,,,Молох | 6 stars | 129 | 158980,8102829,11063067,0,
,,,Молох | 6 stars | 130 | 187897,6992845,13374277,0,,,Араджи | 6 stars | 130 | 177711,7052642,7830082,0,
,,,Игнис | 6 stars | 130 | 185518,6963671,11465772,0,,,Игнис | 6 stars | 128 | 148220,5521882,10098934,0,
,,,Ияри | 6 stars | 130 | 227678,4390183,18060984,8728008,,,Вулкан | 6 stars | 128 | 151491,4056824,6184992,0,
,,,Тотем Духа Огня | 2 stars | 95,7143665,0,0,,,Тотем Духа Огня | 2 stars | 105,14845070,0,0,
,,,Тотем Духа Света | 4 stars | 100,2610208,0,907500,,,,,,,

Академия Магов (Позиция 3),Победа,+35,Mosida (130-1075056),,,,,,Rom (130-902413),,,,
,,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство
,,,Джу | Красный +2 | 6 stars | 130 | 188745,1570381,632024,20355,Векс | 10378,,Данте | Красный +2 | 6 stars | 130 | 200069,1928172,769353,0,Каин | 11064
,,,Галахад | Красный +2 | 6 stars | 130 | 204761,940482,420154,355131,Альбус | 11064,,Джу | Красный +2 | 6 stars | 130 | 139158,152221,698455,0,
,,,Йорген | Красный | 6 stars | 130 | 120000,307029,360309,33192,Оливер | 11064,,Селеста | Красный +2 | 6 stars | 130 | 151824,77595,391683,43712,
,,,Арахна | Красный +2 | 6 stars | 130 | 192936,126466,544639,103792,Мара | 9692,,Эйден | Красный | 6 stars | 130 | 115239,56922,769353,44017,
,,,К'арх | Красный +2 | 6 stars | 130 | 186671,0,429412,0,Фенрис | 11064,,Айзек | Красный +2 | 6 stars | 130 | 132188,25060,327717,0,Мара | 5766
,,,Аксель | Фиолетовый +3 | 6 stars | 130 | 181943,0,0,0,,,Каин | Фиолетовый +3 | 6 stars | 130 | 163935,158771,0,0,

Академия Магов (Позиция 2),Поражение,+10,Mosida (130-1176440),,,,,,Пунь Пунь (130-1047932),,,,
,,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство
,,,Гелиос | Красный +2 | 6 stars | 130 | 199479,2520137,696346,0,Мерлин | 11064,,Лирия | Красный +2 | 6 stars | 130 | 169678,2874266,2969801,1149607,Оливер | 5419
,,,Корвус | Красный +2 | 6 stars | 130 | 198926,1634703,1427586,0,Оливер | 11064,,Себастьян | Красный +2 | 6 stars | 130 | 193926,2624573,826742,677107,Альбус | 11064
,,,Морриган | Красный +2 | 6 stars | 130 | 180135,1594760,5605537,1952112,Аксель | 11064,,Эйден | Красный +2 | 6 stars | 130 | 185600,1875154,2861537,1521800,Хорус | 8546
,,,Орион | Красный +2 | 6 stars | 130 | 196528,1301335,482193,0,Хорус | 11064,,Лара Крофт | Красный +2 | 5 stars | 130 | 196655,1156186,873272,734016,Фенрис | 10154
,,,Лара Крофт | Красный +2 | 6 stars | 130 | 219429,429205,639192,0,Мара | 9692,,Ясмин | Красный +2 | 6 stars | 130 | 200947,320675,424033,0,Каин | 11064
,,,Хорус | Фиолетовый +3 | 6 stars | 130 | 181943,475245,0,0,,,Аксель | Фиолетовый +1 | 5 stars | 130 | 101126,0,0,0,

Бастион Огня (Позиция 3),Победа,+3,NC750X (130-652171),,,,,,Бальдр (130-1120046),Увеличение здоровья (112%),,,
,,,,Нанесённый урон,Полученный урон,Исцеление,,,,Нанесённый урон,Полученный урон,Исцеление,
,,,Нова | 6 stars | 117 | 133019,1865733,0,0,,,Игнис | 6 stars | 130 | 216366,3993064,6910728,0,
,,,Гиперион | 6 stars | 130 | 155509,1536512,0,1216792,,,Молох | 6 stars | 130 | 240887,0,0,0,
,,,Маири | 6 stars | 117 | 128688,1496223,0,0,,,Араджи | 6 stars | 130 | 223814,0,0,0,
,,,Тенебрис | 6 stars | 106 | 96010,1117418,0,0,,,Вулкан | 6 stars | 130 | 232098,0,0,0,
,,,Сигурд | 6 stars | 117 | 138945,894842,3993064,0,,,Ашерона и Пиро | 6 stars | 130 | 206881,0,0,0,
,,,Тотем Духа Воды | 1 stars | 86,0,0,0,,,,,,,

Алтарь Жизни (Позиция 5),Поражение,0,senngoku (130-484540),,,,,,Алый Стервь (130-1082205),,,,
,,,,Нанесённый урон,Полученный урон,Исцеление,,,,Нанесённый урон,Полученный урон,Исцеление,
,,,Нова | 6 stars | 107 | 93143,1065726,4420555,0,,,Тенебрис | 6 stars | 130 | 242935,27152420,3142683,3439136,
,,,Ригель | 6 stars | 100 | 86571,1003654,6338479,0,,,Игнис | 6 stars | 130 | 211842,2065966,1076830,0,
,,,Сигурд | 6 stars | 120 | 126394,935909,8415255,0,,,Молох | 6 stars | 130 | 220773,0,0,0,
,,,Ашерона и Пиро | 5 stars | 100 | 87264,743104,4646377,0,,,Араджи | 6 stars | 130 | 220682,0,0,0,
,,,Ияри | 6 stars | 100 | 91168,471120,5397720,0,,,Эдем | 6 stars | 130 | 185973,0,0,0,
,,,Тотем Духа Света | 1 stars | 62,0,0,0,,,,,,,

Башня Алхимии (Позиция 1),Победа,+35,Hachi (130-1213476),,,,,,Оди (130-1131939),Увеличение брони (68%),,,
,,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство
,,,Тристан | Красный +2 | 6 stars | 130 | 203313,1638010,647195,0,Фенрис | 11064,,Хайди | Красный +2 | 6 stars | 130 | 198983,2017296,385874,0,Бисквит | 7859
,,,Лирия | Красный +2 | 6 stars | 130 | 192479,1033701,694246,157426,Оливер | 11064,,Эйден | Красный +2 | 6 stars | 130 | 187027,690953,1186637,224626,Мерлин | 7804
,,,Галахад | Красный +2 | 6 stars | 130 | 207714,747801,823570,244563,Бисквит | 11064,,Полярис | Красный +2 | 6 stars | 130 | 181349,285071,454309,0,Хорус | 9428
,,,Себастьян | Красный +2 | 6 stars | 130 | 203138,175296,607737,0,Альбус | 11064,,Амира | Красный +2 | 6 stars | 130 | 196087,21237,1186637,0,Аксель | 9461
,,,Лара Крофт | Красный +2 | 6 stars | 130 | 224889,150440,399790,272362,Мара | 11064,,Небула | Красный +2 | 6 stars | 130 | 195548,8332,531791,43061,Каин | 6949
,,,Аксель | Фиолетовый +3 | 6 stars | 130 | 181943,0,0,0,,,Хорус | Фиолетовый +3 | 6 stars | 130 | 172945,149649,0,0,

Бастион (Позиция 1),Победа,+35,Hachi (130-1182132),,,,,,G_G (130-1110590),Увеличение защиты от магии (24%),,,
,,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство
,,,Орион | Красный +2 | 6 stars | 130 | 207386,1633093,88110,0,Мара | 11064,,Лара Крофт | Красный +2 | 5 stars | 130 | 200607,310913,546652,0,Векс | 4773
,,,Криста | Красный +2 | 6 stars | 130 | 194171,1093871,267872,0,Аксель | 11064,,Исмаил | Красный +2 | 6 stars | 130 | 198009,35288,478312,13491,Фенрис | 8529
,,,Каскад | Красный +2 | 6 stars | 130 | 191825,1047140,49383,0,Мерлин | 11064,,Эйден | Красный +2 | 6 stars | 130 | 179810,26694,1521671,61619,Хорус | 9467
,,,Айрис | Красный +2 | 6 stars | 130 | 213732,570203,0,0,Бисквит | 11064,,Себастьян | Красный +2 | 6 stars | 130 | 199174,20156,600257,0,Альбус | 10812
,,,Август | Красный +2 | 6 stars | 130 | 193075,324256,0,0,Хорус | 11064,,Лирия | Красный +2 | 6 stars | 130 | 173829,12314,1521671,0,Бисквит | 4773
,,,Хорус | Фиолетовый +3 | 6 stars | 130 | 181943,0,0,0,,,Аксель | Фиолетовый +3 | 6 stars | 130 | 159161,0,0,0,

Алтарь Жизни (Позиция 4),Победа,+6,norasann (130-942305),,,,,,3ve (130-786905),,,,
,,,,Нанесённый урон,Полученный урон,Исцеление,,,,Нанесённый урон,Полученный урон,Исцеление,
,,,Араджи | 6 stars | 130 | 176659,2017800,0,0,,,Тенебрис | 6 stars | 130 | 165048,11846700,8158211,1577178,
,,,Вулкан | 6 stars | 130 | 123843,1941226,0,0,,,Керос | 6 stars | 100 | 107675,0,0,0,
,,,Тенебрис | 6 stars | 130 | 265633,1564070,0,0,,,Араджи | 6 stars | 130 | 195470,0,0,0,
,,,Брустар | 6 stars | 130 | 224848,1411749,11846700,0,,,Молох | 6 stars | 126 | 130054,0,0,0,
,,,Молох | 6 stars | 130 | 151322,1223366,0,0,,,Ашерона и Пиро | 6 stars | 119 | 188658,0,0,0,
,,,Тотем Духа Тьмы | 2 stars | 99,0,0,0,,,,,,,

Алтарь Жизни (Позиция 5),Победа,+7,Mosida (130-774502),,,,,,Алый Стервь (130-1082205),,,,
,,,,Нанесённый урон,Полученный урон,Исцеление,,,,Нанесённый урон,Полученный урон,Исцеление,
,,,Вулкан | 6 stars | 130 | 132509,3117622,0,0,,,Тенебрис | 6 stars | 130 | 242935,15086820,5422559,2120799,
,,,Молох | 6 stars | 130 | 144131,2677809,6697639,0,,,Игнис | 6 stars | 130 | 211842,4297901,5534683,0,
,,,Игнис | 6 stars | 130 | 138877,1942326,0,0,,,Молох | 6 stars | 130 | 220773,0,0,0,
,,,Сигурд | 6 stars | 130 | 195696,1640150,12687082,0,,,Араджи | 6 stars | 130 | 220682,0,0,0,
,,,Эдем | 6 stars | 130 | 163289,1408281,0,0,,,Эдем | 6 stars | 130 | 185973,0,0,0,
,,,Тотем Духа Огня | 1 stars | 87,171054,0,0,,,,,,,

Бастион Льда (Позиция 3),Победа,+35,monologue (130-1219132),,,,,,Виларт (130-993175),Ускорение набора энергии (42%),,,
,,,,Нанесённый урон,Полученный урон,Исцеление,,,,Нанесённый урон,Полученный урон,Исцеление,
,,,Брустар | 6 stars | 130 | 251900,13702366,19034244,0,,,Молох | 6 stars | 130 | 196587,11103030,12960087,0,
,,,Солярис | 6 stars | 130 | 302276,6094266,11587821,2050528,,,Гиперион | 6 stars | 130 | 209210,10971572,15626751,1921419,
,,,Ияри | 6 stars | 130 | 242432,4856619,12013479,0,,,Нова | 6 stars | 130 | 208074,5625434,10020604,0,
,,,Керос | 6 stars | 130 | 213779,4065704,12420908,0,,,Ашерона и Пиро | 6 stars | 130 | 194449,4198608,10631091,0,
,,,Ригель | 6 stars | 130 | 208745,2175216,15033393,0,,,Маири | 6 stars | 130 | 184855,2090200,11092280,0,
,,,Тотем Духа Тьмы | 6 stars | 130,29436642,0,0,,,Тотем Духа Воды | 6 stars | 130,8246448,0,12171880,
,,,Тотем Духа Света | 6 stars | 130,0,0,0,,,Тотем Духа Огня | 6 stars | 130,27854553,0,0,

Бастион Льда (Позиция 1),Поражение,+25,Erwin (130-1103001),,,,,,Оди (130-1143347),Ускорение набора энергии (42%),,,
,,,,Нанесённый урон,Полученный урон,Исцеление,,,,Нанесённый урон,Полученный урон,Исцеление,
,,,Эдем | 6 stars | 130 | 221826,22994292,18864537,0,,,Тенебрис | 6 stars | 130 | 293463,20303706,14355947,10189731,
,,,Ангус | 6 stars | 130 | 238661,18710996,25447214,0,,,Гиперион | 6 stars | 130 | 207522,16395630,20577166,6448762,
,,,Сильва | 6 stars | 130 | 229105,6571649,17138930,0,,,Мор | 6 stars | 130 | 230681,5516896,23762391,699934,
,,,Авалон | 6 stars | 130 | 210478,4302500,17561993,0,,,Нова | 6 stars | 130 | 207523,4231602,10931440,232495,
,,,Вердок и Фито | 6 stars | 130 | 202931,4014685,17627033,0,,,Сигурд | 6 stars | 130 | 204158,3423457,16407127,356666,
,,,Тотем Духа Земли | 6 stars | 130,29439949,23702097,17455511,,,Тотем Духа Воды | 6 stars | 130,31119790,0,23810640,
,,,,,,,,,Тотем Духа Тьмы | 6 stars | 130,30844481,0,0,

