Укрепление,Результат,Очки,Атакующий,,,,,,Защищающийся,,,
,,,,Нанесённый урон,Полученный урон,Исцеление,,,,Нанесённый урон,Полученный урон,Исцеление,
,,,Эдем | 6 stars | 130 | 212541,18209053,1991351,0,,,Керос | 6 stars | 130 | 218243,9795090,14072575,0,
,,,Ангус | 6 stars | 130 | 228670,11358586,19619545,0,,,Араджи | 6 stars | 130 | 182638,8872020,7440332,0,
,,,Сильва | 6 stars | 130 | 228595,8557361,1736871,0,,,Тенебрис | 6 stars | 130 | 296473,6716432,15404390,4523069,
,,,Авалон | 6 stars | 130 | 212515,6350780,5997278,0,,,Эдем | 6 stars | 130 | 152723,6592121,15360629,0,
,,,Вердок и Фито | 5 stars | 113 | 176170,4762238,5310270,0,,,Брустар | 6 stars | 130 | 228889,5551409,18150526,0,
,,,Тотем Духа Земли | 6 stars | 130,21190434,23428462,3120000,,,Тотем Духа Тьмы | 6 stars | 130,22572372,0,3120000,

Мост,Укрепление захвачено,+210
Бастион Огня (Позиция 1),Поражение,+23,DUHAayanami (130-1021359),,,,,,ПасТырЪ (130-886426),Увеличение здоровья (112%),,,
,,,,Нанесённый урон,Полученный урон,Исцеление,,,,Нанесённый урон,Полученный урон,Исцеление,
,,,Гиперион | 6 stars | 130 | 215828,15636359,18756844,1959369,,,Амон | 6 stars | 80 | 115847,8891235,9130540,0,
,,,Нова | 6 stars | 130 | 200879,7727993,8245470,0,,,Молох | 6 stars | 130 | 193967,5833563,25342084,0,
,,,Араджи | 6 stars | 130 | 186980,5391650,7639954,0,,,Араджи | 6 stars | 115 | 171299,5096832,12123292,0,
,,,Маири | 6 stars | 130 | 201031,4343068,11760432,0,,,Ашерона и Пиро | 6 stars | 130 | 190860,4720409,9575494,0,
,,,Сигурд | 6 stars | 130 | 216641,3919320,25697970,0,,,Ияри | 6 stars | 130 | 214453,3688406,7384003,1280867,
,,,Тотем Духа Воды | 6 stars | 130,26537023,3427124,19004006,,,Тотем Духа Света | 6 stars | 130,6247992,0,0,
,,,,,,,,,Тотем Духа Огня | 6 stars | 130,41049357,0,0,

Бастион Огня (Позиция 1),Победа,+12,DUHAayanami (130-863225),,,,,,ПасТырЪ (130-886426),Увеличение здоровья (112%),,,
,,,,Нанесённый урон,Полученный урон,Исцеление,,,,Нанесённый урон,Полученный урон,Исцеление,
,,,Тенебрис | 6 stars | 130 | 229460,15705318,4981248,4402544,,,Араджи | 6 stars | 115 | 171299,11109406,2659197,0,
,,,Керос | 6 stars | 130 | 123482,7497425,7193815,438979,,,Ашерона и Пиро | 6 stars | 130 | 190860,10727218,11156108,0,
,,,Молох | 6 stars | 130 | 183025,4974909,12894140,0,,,Ияри | 6 stars | 130 | 214453,9521501,23193072,8041982,
,,,Мор | 6 stars | 130 | 131447,2810901,11869723,0,,,Амон | 6 stars | 80 | 115847,6114847,0,0,
