date time	attacker id	att name	att power	att team	defender id	def name	def power	team	points	attacker pets	defender pets	comment	A flag/totem	D flag/totem	A flag desc/Totem skills	D flag desc/Totem skills	replay
06/08 17:57	61882142	B.i.G	1033863	Гип(199) Сол(252) Тид(190) Нов(182) Риг(210)	62156932	Olv_007	1224440	Мол(224) Мор(269) Аше(200) Ара(217) Тен(314)					В6-130 С6-130	Т6-130 О6-112	"ЛП3 ПД3 ГН2 ЗС3"	"ГН4 ЭЭ4 ГН4 ПР4"	https://www.hero-wars.com?replay_id=1786028225337993220	
06/08 17:55	61882142	B.i.G	1019525	Люм(195) Ияр(231) Ара(206) Аше(197) Вул(189)	62157090	Dainagon	1181064	Анг(243) Ава(243) Вер(226) Эде(226) Сил(243)					О6-130 С6-130	Д6-130	"ГС3 ПД3 ГН2 ЗС3"	"ШГ6 ЭЭ4  "	https://www.hero-wars.com?replay_id=1786028143115159313	
06/08 14:57	61882250	Kamul27rus	1246037	Люм(235) Ияр(269) Сол(314) Амо(160) Риг(269)	62156924	AnNing	1010365	Сиг(212) Нов(202) Тид(195) Маи(187) Гип(213)					С6-130	В6-130	"ЛП4 ЗС4  "	"ГС3 ПД3  "	https://www.hero-wars.com?replay_id=1786017430621997429	
06/08 14:40	61882246	Nergal	1204420	Тен(314) Ара(225) Умб(230) Аше(208) Мол(228)	62160454	Spectre06	1160153	Мол(241) Сол(272) Ара(212) Ияр(219) Игн(217)					О6-130 Т6-130	О6-130 С5-130	"ТМ6 ПР3 ГН4 ТК4"	"ПВ5 ЗС4 ЛП5 ПР3"	https://www.hero-wars.com?replay_id=1786016451237984325	
06/08 14:37	61882246	Nergal	1193424	Люм(238) Ияр(272) Сол(318) Амо(92) Риг(272)	62156861	Dular	1158590	Сиг(242) Нов(242) Тид(208) Маи(242) Гип(225)					С6-130	В6-130	"ЛП5 ЗС5  "	"ШГ5 ПД5  "	https://www.hero-wars.com?replay_id=1786016263399745097	
06/08 12:53	61882204	Лапочка	1100804	Тен(232) Аше(202) Амо(225) Вул(199) Риг(242)	62157099	Root	1094245	Сиг(240) Нов(226) Тид(206) Маи(200) Гип(223)					С6-130 О6-130	В6-130	"ЛП5 ТК4 ПВ5 ПР5"	"ШГ4 ЗС5  "	https://www.hero-wars.com?replay_id=1786010015498756259	
06/08 11:36	61882154	Виларт	1199827	Тен(309) Маи(215) Нов(219) Мор(231) Сиг(225)	62157092	HADES	1132810	Мол(233) Вул(228) Аше(211) Ара(228) Игн(233)					В6-130 Т6-130	О6-130	"ШГ5 ТК5 ГН3 ЗС4"	"ГА6 ПР6  "	https://www.hero-wars.com?replay_id=1786005386244172645	
06/08 11:18	61882154	Виларт	1057596	Игн(201) Гип(225) Ара(219) Тид(198) Мол(215)	62156854	heyhey	1146073	Анг(244) Ава(244) Вер(204) Эде(227) Сил(227)					О6-130 В6-130	Д6-130	"ПВ4 ПР5 ШГ5 ТК5"	"ШГ6 ЭЭ5  "	https://www.hero-wars.com?replay_id=1786004289656545268	
06/08 09:28	61882137	G_G	982024	Гип(199) Эде(217) Вер(184) Тид(179) Ава(202)	62156894	Bandos	1227392	Риг(267) Ава(225) Вер(203) Сол(312) Эде(220)					Д6-130 В6-130	Д6-130 С6-130	"ГС5 ЭЭ5 ШГ4 ПД5"	"ТМ3 ЭЭ4 ЛП4 ТК3"	https://www.hero-wars.com?replay_id=1785997718602929586	
06/08 09:28	62084549	Тихая	1140570	Тен(269) Гип(215) Тид(203) Нов(215) Бру(238)	62157188	naked	1142765	Мол(242) Вул(226) Аше(208) Ара(225) Игн(242)					В6-130 Т6-130	О6-130	"ШГ4 ПД5 ГН6 ТК4"	"ПВ5 ЗС5  "	https://www.hero-wars.com?replay_id=1785997705217811957	
06/08 09:28	61882233	2 718	1100539	Ияр(194) Ара(212) Сол(276) Аше(205) Мол(213)	62156882	kaga.co	1205656	Риг(252) Ава(237) Вер(195) Сол(301) Эде(220)					О6-130 С5-97	Д6-130 С6-130	"ПВ5 ЗС5 ЛП3 ПР4"	"ГС5 ЭЭ6 ЛП5 ЗС5"	https://www.hero-wars.com?replay_id=1785997687578152699	
06/08 09:25	61883387	FEDOR	1261974	Тен(305) Гип(220) Сол(282) Тид(206) Бру(249)	62156863	niku_2	1195136	Бру(255) Мор(238) Аше(203) Ара(220) Тен(278)					Т6-130 В6-130	Т6-130 О6-113	"ЛП2 ТК2 ШГ4 ПД5"	"ЛП5 ЗС5 ТП5 ПР5"	https://www.hero-wars.com?replay_id=1785997511365561129	
06/08 08:29	62155801	Dobraia Feя	1271946	Тен(305) Сол(272) Кер(244) Умб(206) Мор(244)	62156863	niku_2	940876	Сиг(224) Тид(207) Сол(135) Гип(198) Люм(177)	35				Т6-114	В6-115 С6-98	"ГН3 ЭЭ3  "	"ГС6 ПР6 ЛП5 ЗС4"	https://www.hero-wars.com?replay_id=1785994161214081329	
06/08 07:59	61882168	Тема	1038617	Тен(295) Эде(213) Вер(148) Мор(201) Анг(181)	62156882	kaga.co	1142323	Сиг(221) Бру(243) Тид(169) Гип(203) Тен(307)	35				Д6-130 Т6-130	В6-130 Т6-130	"ГС4 ЭЭ5 ЛП2 ПР3"	"ШГ5 ПД5 ГН5 ТК4"	https://www.hero-wars.com?replay_id=1785992350017054753	
06/08 07:16	61882137	G_G	1034973	Игн(193) Ияр(206) Ара(210) Сол(211) Мол(214)	62156896	Hexke	1175191	Риг(266) Амо(249) Ава(239) Вер(199) Эде(222)	35				О6-130 С6-130	Д6-130 С6-130	"ПВ5 ПР6 ЛП6 ТК5"	"ГС4 ЭЭ4 ЛП3 ТК4"	https://www.hero-wars.com?replay_id=1785989777306262037	
06/08 06:58	62160428	Joker	1196994	Люм(203) Эде(228) Сол(309) Вер(211) Анг(245)	62120545	Suka-suka	1107352	Сиг(218) Бру(246) Тид(151) Гип(221) Тен(271)	35				Д6-130 С6-81	В6-130 Т5-130	"ГС6 ЭЭ6 ЛП6 ЗС5"	"ГН4 ТК3 ПВ3 ПР4"	https://www.hero-wars.com?replay_id=1785988710472971618	
06/08 06:58	62160428	Joker	1133180	Тен(318) Ара(214) Умб(203) Аше(191) Мол(207)	38792607	C-3PO	1169776	Риг(248) Ава(225) Вер(174) Сол(305) Эде(218)	35				Т6-130 О6-110	Д6-130 С6-130	"ГН5 ТК5 ПВ5 ПР5"	"ГС5 ЭЭ4 ЛП4 ЗС3"	https://www.hero-wars.com?replay_id=1785988697438111851	
