date time	level	week	attacker id	att name	att power	att team	damage	attacker patronage	comment	replay
21/06 16:50	160	25	62044906	ГошаПукаетВкозу	955616	Акс(182) Баб(104) Дор(71) Авг(194) Ори(204) Неб(201)	14920863	Акс(11064)  ###  Аль(11064) Хор(11064) Каи(10154)		https://www.hero-wars.com?replay_id=1782049843673434427	
21/06 16:17	160	25	61882212	Оди	1125128	Аль(182) ЛаК(214) Хай(204) Цин(196) Чер(140) Руф(190)	11175223	Век(11064) Аль(11064) Фен(8233) Оли(11064) Бис(10350)		https://www.hero-wars.com?replay_id=1782047843588886360	
21/06 16:16	160	25	61882212	Оди	1131768	Аль(182) Тея(195) Фла(177) Кас(191) Ами(199) Эле(188)	1641989	Мар(11064) Бис(10350) Хор(9428) Акс(11064) Мер(11064)		https://www.hero-wars.com?replay_id=1782047772793499745	
21/06 16:15	160	25	61882212	Оди	1099240	Аль(182) Ада(173) Себ(197) Джу(178) Айз(180) Лир(189)	1020670	Век(11064) Фен(8233) Аль(11064) Оли(11064) Бис(10350)		https://www.hero-wars.com?replay_id=1782047716041875863	
21/06 16:13	160	25	61882212	Оди	1103399	Мер(182) Баб(149) Дор(177) Авг(194) Ори(203) Неб(200)	41995492	 ###  Акс(11064) Аль(11064) Мер(11064) Каи(9018)		https://www.hero-wars.com?replay_id=1782047607528862194	
21/06 15:35	160	25	61958839	Бальдр	963928	Акс(182) Крн(140) Фла(171) Йор(152) Хай(118) Дан(202)	2195106	Бис(10154) Акс(11064) Оли(11064) Аль(11064) Каи(11064)		https://www.hero-wars.com?replay_id=1782045329924040579	
21/06 15:34	160	25	61958839	Бальдр	1105819	Акс(182) Лар(145) ЛаК(218) Кас(183) Себ(203) Айз(176)	101790	Бис(10154) Век(11064) Акс(11064) Оли(11064) Мар(4487)		https://www.hero-wars.com?replay_id=1782045292219770694	
21/06 15:33	160	25	61958839	Бальдр	991101	Аль(182) Бир(162) Кри(163) Гус(149) Эле(183) Авр(152)	2204713	Акс(11064) Бис(10154) Хор(10154) Оли(11064) Каи(11064)		https://www.hero-wars.com?replay_id=1782045212895781752	
21/06 15:29	160	25	61958839	Бальдр	915510	Мер(94) Баб(192) Дор(61) Авг(176) Ори(195) Неб(197)	27636335	Оли(11064) Акс(11064) Аль(11064) Мер(5683) Каи(11064)		https://www.hero-wars.com?replay_id=1782044971360228065	
21/06 15:28	160	25	61958839	Бальдр	971448	Акс(182) Ада(166) Джу(201) Ясм(132) Лир(184) Гал(108)	680150	Каи(11064) Век(11064) Фен(9428) Бис(10154) Оли(11064)		https://www.hero-wars.com?replay_id=1782044904984853171	
21/06 13:01	160	25	61882154	Виларт	964266	Акс(182) Йор(176) Джу(173) Ами(164) Гус(89) Аст(181)	2196314	Акс(11064) Аль(9428) Бис(10114) Хор(10154) Оли(6132)		https://www.hero-wars.com?replay_id=1782036084416744842	
21/06 13:00	160	25	61882154	Виларт	979268	Акс(182) Лар(183) Фла(163) Кас(172) Кри(193) Эле(87)	531517	Акс(11064) Хор(10154) Бис(10114) Мер(6894) Оли(6132)		https://www.hero-wars.com?replay_id=1782036024408011438	
21/06 12:58	160	25	61882154	Виларт	1046274	Акс(182) Дже(143) Ада(181) Себ(188) Айз(168) Лир(183)	582309	Каи(4773) Век(9498) Аль(9428) Акс(11064) Оли(6132)		https://www.hero-wars.com?replay_id=1782035932367243661	
