date time	level	week	attacker id	att name	att power	att team	damage	attacker patronage	comment	replay
27/04 00:12	160	18	62044999	Пунь Пунь	984444	Аль(182) Себ(200) Джу(146) Сел(197) Сат(115) Кей(144)	1021510	Аль(11064) Фен(10154) Хор(9456) Акс(6484) Бис(4773)		https://www.hero-wars.com?replay_id=1777237971620658488	
27/04 00:11	160	18	62044999	Пунь Пунь	1115230	Аль(182) ЛаК(202) Айз(159) Ясм(204) Лир(180) Аст(188)	1173814	Фен(10154) Оли(10282) Каи(11064) Бис(4773) Акс(6484)		https://www.hero-wars.com?replay_id=1777237884534607245	
27/04 00:05	160	18	62044999	Пунь Пунь	947509	Аль(182) Фла(175) Хай(205) Ами(190) Руф(99) Эле(96)	7761572	Хор(9456) Аль(11064) Акс(6484) Бис(4773) Оли(10282)		https://www.hero-wars.com?replay_id=1777237502186825804	
26/04 23:35	160	18	61882156	3.14_ZDETS	1066597	Аль(182) Тея(135) ЛаК(201) Йор(142) Дан(202) Исм(205)	661338	Мер(11064) Фен(9428) Акс(11064) Каи(11064) Оли(11064)		https://www.hero-wars.com?replay_id=1777235708741417741	
26/04 23:34	160	18	61882156	3.14_ZDETS	1059225	Аль(182) Фаф(171) Эйд(177) Себ(196) Джу(193) Цин(139)	2142874	Мар(8108) Хор(11064) Аль(11064) Век(9018) Фен(9428)		https://www.hero-wars.com?replay_id=1777235670762604379	
26/04 23:18	160	18	61882156	3.14_ZDETS	937314	Аль(182) Фла(141) Хай(170) Ами(183) Сел(153) Эле(109)	15906218	Бис(9018) Аль(11064) Акс(11064) Хор(11064) Оли(11064)		https://www.hero-wars.com?replay_id=1777234723606454850	
26/04 23:09	160	18	61882156	3.14_ZDETS	1105594	Аль(182) Крн(164) Айз(190) Три(190) Лир(186) Гал(193)	16166165	Акс(11064) Оли(11064) Фен(9428) Бис(9018) Аль(11064)		https://www.hero-wars.com?replay_id=1777234149452215635	
26/04 22:54	160	18	61882156	3.14_ZDETS	1079617	Аль(182) Баб(153) Дор(153) Авг(189) Ори(203) Неб(200)	23587514	 ###  Мер(11064) Аль(11064) Хор(11064) Каи(11064)		https://www.hero-wars.com?replay_id=1777233285669974434	
26/04 22:49	160	18	62044906	ГошаПукаетВкозу	1172924	Аль(182) ЛаК(208) Йор(172) Дан(204) Ара(204) Исм(204)	1222152	Фен(8108) Акс(11064) Каи(10154) Аль(11064) Оли(8108)		https://www.hero-wars.com?replay_id=1777232985678754058	
26/04 22:48	160	18	62044906	ГошаПукаетВкозу	1010808	Аль(182) Себ(198) Айз(177) Чер(74) Лир(185) Аст(195)	3135961	Аль(11064) Оли(8108) Бис(5766) Фен(8108) Акс(11064)		https://www.hero-wars.com?replay_id=1777232930595911443	
26/04 22:29	160	18	62044906	ГошаПукаетВкозу	1010232	Аль(182) Фла(144) Хай(205) Ами(188) Юли(149) Руф(143)	9101954	Хор(11064) Аль(11064) Оли(8108) Акс(11064) Бис(5766)		https://www.hero-wars.com?replay_id=1777231768432211565	
26/04 22:16	160	18	62072200	Пух	1186496	Аль(182) ЛаК(214) Джу(194) Цин(206) Ясм(203) Гал(188)	8052051	Век(5683) Аль(11064) Каи(11064) Фен(11064) Бис(11064)		https://www.hero-wars.com?replay_id=1777230985079259113	
26/04 22:14	160	18	62072200	Пух	1106609	Аль(182) Фла(183) Хай(201) Сел(192) Ара(171) Эле(176)	10211730	Хор(11064) Аль(11064) Бис(11064) Мар(11064) Оли(11064)		https://www.hero-wars.com?replay_id=1777230888876245883	
26/04 22:12	160	18	62072200	Пух	923045	Аль(182) Эйд(184) Бир(155) Мор(166) Муш(60) Крв(175)	7103769	Хор(11064) Бис(11064) Акс(9428) Оли(11064) Аль(11064)		https://www.hero-wars.com?replay_id=1777230757434016575	
26/04 22:10	160	18	62072200	Пух	1033010	Аль(182) Баб(192) Дор(68) Авг(186) Ори(200) Неб(204)	19747935	Оли(11064) Акс(9428) Аль(11064) Мар(11064) Каи(11064)		https://www.hero-wars.com?replay_id=1777230656213131058	
26/04 22:06	160	18	62044906	ГошаПукаетВкозу	956921	Акс(182) Баб(103) Дор(79) Авг(190) Ори(204) Неб(199)	29472282	Акс(11064) Мер(5417) Аль(11064) Хор(11064) Каи(10154)		https://www.hero-wars.com?replay_id=1777230408992706129	
26/04 21:59	160	18	62072200	Пух	1128705	Аль(182) Крн(186) Себ(203) Айз(157) Чер(197) Три(203)	18338295	Бис(11064) Аль(11064) Акс(9428) Оли(11064) Фен(11064)		https://www.hero-wars.com?replay_id=1777229960598481931	
26/04 21:32	160	18	62084537	Фартовый	1160393	Аль(182) Хай(205) Ами(193) Сел(199) Лир(179) Авр(202)	5147819	Аль(11064) Акс(11064) Хор(11064) Бис(8518) Каи(10154)		https://www.hero-wars.com?replay_id=1777228379136475383	
26/04 21:32	160	18	62084537	Фартовый	944872	Акс(182) ЛаК(218) Джу(61) Ара(202) Цин(85) Гал(198)	849732	Век(11064) Аль(11064) Мар(8108) Каи(10154) Фен(8108)		https://www.hero-wars.com?replay_id=1777228347686621950	
26/04 21:30	160	18	62084537	Фартовый	691164	Аль(182) Эйд(189) Мор(96) Муш(60) Руф(41) Крв(123)	8227359	Мер(10154) Акс(11064) Оли(11064) Бис(8518) Аль(11064)		https://www.hero-wars.com?replay_id=1777228246578328544	
26/04 21:29	160	18	62084537	Фартовый	1076916	Мер(152) Баб(162) Дор(175) Авг(190) Ори(202) Неб(195)	17988733	 ###  Акс(11064) Аль(11064) Мар(8108) Каи(10154)		https://www.hero-wars.com?replay_id=1777228158345212595	
26/04 21:28	160	18	62084537	Фартовый	1024883	Аль(182) Крн(106) Себ(194) Айз(168) Чер(186) Три(190)	2736509	Бис(8518) Аль(11064) Акс(11064) Оли(11064) Фен(8108)		https://www.hero-wars.com?replay_id=1777228119328544289	
26/04 21:21	160	18	62084542	bLanx	1112310	Аль(182) Хай(205) Ами(168) Сел(163) Лир(189) Авр(204)	7157091	Аль(11064) Акс(11064) Хор(11064) Оли(11064) Каи(11064)		https://www.hero-wars.com?replay_id=1777227695477785551	
26/04 21:20	160	18	62084542	bLanx	1169191	Акс(182) ЛаК(223) Джу(198) Цин(202) Ясм(162) Гал(201)	3698465	Век(11064) Аль(11064) Каи(11064) Фен(11064) Бис(11064)		https://www.hero-wars.com?replay_id=1777227644526210398	
26/04 21:19	160	18	62084542	bLanx	984667	Аль(182) Эйд(191) Мор(199) Муш(105) Руф(149) Крв(157)	18110009	Мер(11064) Акс(11064) Оли(11064) Бис(11064) Аль(11064)		https://www.hero-wars.com?replay_id=1777227588382614537	
26/04 21:19	160	18	62084542	bLanx	1157491	Мер(182) Баб(183) Дор(196) Авг(190) Ори(204) Неб(202)	10791070	 ###  Акс(11064) Аль(11064) Хор(11064) Каи(11064)		https://www.hero-wars.com?replay_id=1777227557737132236	
26/04 21:18	160	18	62084542	bLanx	1038532	Аль(182) Крн(145) Себ(200) Айз(182) Чер(130) Три(200)	3483445	Акс(11064) Аль(11064)  ###  Оли(11064) Фен(11064)		https://www.hero-wars.com?replay_id=1777227519773923440	
26/04 21:15	160	18	62084540	SVAROG	1184204	Аль(182) Хай(208) Ами(199) Сел(202) Лир(191) Авр(202)	9141856	Аль(11064) Акс(11064) Хор(11064) Бис(11064) Каи(11064)		https://www.hero-wars.com?replay_id=1777227325347870028	
26/04 21:14	160	18	62084540	SVAROG	1205294	Акс(182) ЛаК(224) Джу(195) Цин(204) Ясм(202) Гал(199)	4329885	Век(11064) Аль(11064) Каи(11064) Фен(11064) Бис(11064)		https://www.hero-wars.com?replay_id=1777227279558054021	
26/04 21:13	160	18	62084540	SVAROG	1142815	Аль(182) Эйд(188) Мор(199) Муш(192) Руф(188) Крв(193)	18058452	Мер(11064) Акс(11064) Оли(11064) Бис(11064) Аль(11064)		https://www.hero-wars.com?replay_id=1777227230364064721	
26/04 21:12	160	18	62084540	SVAROG	1139821	Мер(182) Баб(163) Дор(192) Авг(193) Ори(207) Неб(202)	13153506	 ###  Акс(11064) Аль(11064) Хор(11064) Каи(11064)		https://www.hero-wars.com?replay_id=1777227134601227291	
26/04 21:08	160	18	62084540	SVAROG	1138642	Аль(182) Крн(189) Себ(200) Айз(162) Чер(204) Три(202)	5557601	Акс(11064) Аль(11064)  ###  Оли(11064) Фен(11064)		https://www.hero-wars.com?replay_id=1777226935750917068	
26/04 20:51	160	18	62084549	Тихая	597941	Аль(155) Фаф(53) Хай(56) Ара(57) Исм(195) Три(82)	996953	Оли(8518) Аль(9428) Акс(9428) Фен(6484)  ### 		https://www.hero-wars.com?replay_id=1777225877912428748	
26/04 20:50	160	18	62084549	Тихая	1081672	Аль(155) Себ(195) Айз(164) Кир(197) Лир(185) Гал(185)	1426316	Аль(9428) Акс(9428) Век(8518) Оли(8518) Фен(6484)		https://www.hero-wars.com?replay_id=1777225836759732070	
26/04 20:49	160	18	62084549	Тихая	912679	Аль(155) Дже(74) Эйд(183) ЛаК(202) Джу(106) Аст(193)	2661545	Оли(8518) Хор(9439) Век(8518) Аль(9428) Акс(9428)		https://www.hero-wars.com?replay_id=1777225795899176092	
26/04 20:47	160	18	62084549	Тихая	924908	Аль(155) Айр(187) Фла(160) Кас(145) Бир(109) Кри(169)	5727838	Аль(9428) Хор(9439) Акс(9428) Мер(4698) Бис(4623)		https://www.hero-wars.com?replay_id=1777225668877842951	
26/04 20:45	160	18	62084549	Тихая	826495	Мер(80) Баб(159) Дор(90) Авг(131) Ори(175) Неб(192)	13221533	Оли(8518) Акс(9428) Аль(9428) Мар(4623) Каи(5417)		https://www.hero-wars.com?replay_id=1777225536707937345	
26/04 20:13	160	18	62044999	Пунь Пунь	874363	Акс(108) Баб(144) Дор(66) Авг(158) Ори(196) Неб(203)	4345161	Акс(6484)  ###  Аль(11064) Хор(9456) Каи(11064)		https://www.hero-wars.com?replay_id=1777223622999576360	
26/04 19:28	160	18	61882250	Kamul27rus	851333	Оли(138) Фла(152) Май(53) Цин(115) Ясм(202) Лир(191)	3078264	Мер(10154) Акс(7580) Каи(8108) Аль(10154) Оли(9018)		https://www.hero-wars.com?replay_id=1777220882200053032	
26/04 19:26	160	18	61882250	Kamul27rus	994176	Аль(172) Фаф(154) Гус(103) Чер(167) Исм(206) Гал(192)	5602715	Мар(4043) Акс(7580) Фен(6484) Оли(9018) Аль(10154)		https://www.hero-wars.com?replay_id=1777220783183605733	
26/04 19:24	160	18	61882250	Kamul27rus	1092297	Аль(172) Тея(191) ЛаК(201) Себ(196) Джу(152) Айз(181)	8749992	Мер(10154) Век(7624) Аль(10154) Фен(6484) Оли(9018)		https://www.hero-wars.com?replay_id=1777220666198012922	
26/04 19:18	160	18	62082395	Винни	924539	Акс(182) Фла(153) Йор(114) Айз(162) Ами(139) Эле(174)	366237	Хор(10154)  ###  Акс(11064) Бис(5373) Оли(8518)		https://www.hero-wars.com?replay_id=1777220294420122200	
26/04 19:18	160	18	61882250	Kamul27rus	690007	Аль(172) Эйд(169) Бир(63) Мор(70) Муш(23) Крв(194)	6611850	Мер(10154) Хор(6972) Оли(9018) Акс(7580) Аль(10154)		https://www.hero-wars.com?replay_id=1777220291090811707	
26/04 19:17	160	18	62082395	Винни	1147417	Акс(182) Себ(194) Дан(194) Исм(202) Лир(182) Аст(194)	52081	Оли(8518) Каи(6894) Фен(9428) Бис(5373) Акс(11064)		https://www.hero-wars.com?replay_id=1777220279253096465	
26/04 19:17	160	18	62082395	Винни	781335	Акс(182) ЛаК(120) Джу(141) Цин(88) Ясм(161) Гал(89)	1405749	Век(5766) Аль(8518) Каи(6894) Фен(9428) Бис(5373)		https://www.hero-wars.com?replay_id=1777220259514491707	
26/04 19:15	160	18	62082395	Винни	1015848	Акс(182) Баб(108) Дор(168) Авг(173) Ори(198) Неб(186)	18129346	Оли(8518) Мер(6676) Хор(10154) Акс(11064) Каи(6894)		https://www.hero-wars.com?replay_id=1777220148764521813	
26/04 19:11	160	18	61882250	Kamul27rus	971117	Мер(172) Баб(169) Дор(56) Авг(180) Ори(199) Неб(195)	41239892	Оли(9018) Акс(7580) Аль(10154) Мер(10154) Каи(8108)		https://www.hero-wars.com?replay_id=1777219894134845114	
26/04 18:52	160	18	61882246	Nergal	853631	Оли(110) Фаф(182) Кас(120) Чер(124) Ясм(203) Гал(116)	6508217	Оли(6676) Мер(11064) Фен(7804) Аль(11064) Бис(4773)		https://www.hero-wars.com?replay_id=1777218767756221909	
26/04 18:51	160	18	61882246	Nergal	960276	Мер(182) Тея(84) Фла(170) Гус(162) Исм(205) Эле(157)	1279322	Мер(11064) Хор(11064) Акс(8266) Фен(7804) Оли(6676)		https://www.hero-wars.com?replay_id=1777218675079230865	
26/04 18:48	160	18	61882246	Nergal	1121205	Аль(182) ЛаК(197) Себ(195) Джу(183) Айз(177) Лир(187)	1895185	Век(11064) Аль(11064) Фен(7804) Оли(6676) Бис(4773)		https://www.hero-wars.com?replay_id=1777218520325596914	
26/04 18:43	160	18	61882246	Nergal	1006025	Мер(182) Баб(189) Дор(54) Авг(191) Ори(200) Неб(191)	53524813	Оли(6676) Акс(8266) Аль(11064) Мер(11064) Каи(5153)		https://www.hero-wars.com?replay_id=1777218215374360293	
26/04 18:34	160	18	61882246	Nergal	849764	Аль(182) Эйд(184) Бир(178) Мор(76) Муш(36) Крв(193)	10624456	Мер(11064) Хор(11064) Акс(8266) Оли(6676) Аль(11064)		https://www.hero-wars.com?replay_id=1777217675320903604	
26/04 16:36	160	18	62084805	Souffle	963655	Аль(182) Айр(146) Джу(136) Айз(146) Дан(194) Тес(160)	2595350	Оли(8518) Век(6905) Акс(11064) Каи(7092) Аль(11064)		https://www.hero-wars.com?replay_id=1777210576152952813	
26/04 16:35	160	18	62084805	Souffle	1151311	Аль(182) Эйд(188) Хай(201) Ясм(186) Исм(201) Кей(193)	5935255	Хор(11064) Акс(11064) Каи(7092) Оли(8518) Аль(11064)		https://www.hero-wars.com?replay_id=1777210552966943404	
26/04 16:35	160	18	62084805	Souffle	906859	Аль(182) Фла(162) Кас(157) Бир(126) Кри(110) Эле(170)	2314843	Хор(11064) Мер(9428) Акс(11064) Бис(6894) Оли(8518)		https://www.hero-wars.com?replay_id=1777210530409070203	
26/04 16:35	160	18	62084805	Souffle	1118183	Аль(182) Фаф(179) ЛаК(206) Себ(197) Гус(170) Лир(184)	797252	Оли(8518) Век(6905) Аль(11064) Акс(11064) Фен(6894)		https://www.hero-wars.com?replay_id=1777210509153718368	
26/04 16:34	160	18	62084805	Souffle	846561	Аль(182) Дор(115) Авг(180) Ори(199) Чер(110) Аст(61)	20810219	Акс(11064) Аль(11064) Мер(9428) Оли(8518) Бис(6894)		https://www.hero-wars.com?replay_id=1777210472628158804	
26/04 12:56	160	18	61958839	Бальдр	728315	Акс(182) Тея(80) Крн(139) Хай(119) Ясм(108) Юли(101)	219372	Мер(5683) Акс(11064) Каи(11064) Аль(11064) Оли(10154)		https://www.hero-wars.com?replay_id=1777197372130402022	
26/04 12:55	160	18	61958839	Бальдр	959860	Акс(182) ЛаК(206) Фла(161) Йор(113) Дан(200) Гал(97)	1130924	Век(11064) Хор(10154) Акс(11064) Каи(11064) Аль(11064)		https://www.hero-wars.com?replay_id=1777197355706497403	
26/04 12:55	160	18	61958839	Бальдр	1147987	Акс(182) Баб(192) Себ(202) Неб(195) Джу(198) Айз(179)	385280	Акс(11064) Аль(11064) Каи(11064) Век(11064) Оли(10154)		https://www.hero-wars.com?replay_id=1777197334481613786	
26/04 12:55	160	18	61958839	Бальдр	945521	Акс(182) Лар(141) Кас(168) Кри(159) Гус(148) Авр(147)	762781	Бис(6143) Хор(10154) Акс(11064) Оли(10154) Каи(11064)		https://www.hero-wars.com?replay_id=1777197314780014269	
26/04 12:54	160	18	61958839	Бальдр	1054709	Акс(182) Авг(164) Ори(194) Бир(153) Лир(183) Эле(180)	8252580	Аль(11064) Хор(10154) Бис(6143) Оли(10154) Акс(11064)		https://www.hero-wars.com?replay_id=1777197285443370223	
26/04 11:46	160	18	61882212	Оди	1085146	Аль(182) Баб(161) Дор(158) Авг(186) Ори(201) Неб(197)	11884545	Оли(11064) Мер(10630) Аль(11064) Хор(9428) Каи(7859)		https://www.hero-wars.com?replay_id=1777193177006891976	
26/04 08:34	160	18	61882168	Тема	649775	Аль(153) Сел(81) Кри(75) Ара(84) К'А(85) Авр(172)	487404	Хор(9428) Мер(3973) Аль(9428) Мар(7128) Акс(9428)		https://www.hero-wars.com?replay_id=1777181695582083411	
26/04 08:34	160	18	61882168	Тема	982276	Аль(153) Тея(122) ЛаК(184) Айз(142) Дан(193) Ясм(188)	718268	Мер(3973) Мар(7128) Акс(9428) Каи(9428) Аль(9428)		https://www.hero-wars.com?replay_id=1777181663037622969	
26/04 08:33	160	18	61882168	Тема	973781	Мер(75) Баб(168) Дор(157) Авг(182) Ори(197) Неб(194)	9505335	Оли(9890) Мер(3973) Аль(9428) Акс(9428) Каи(9428)		https://www.hero-wars.com?replay_id=1777181588757108602	
26/04 06:08	160	18	61882177	Rom	915257	Аль(155) Гел(143) Джу(172) Сел(164) Гус(84) Авр(198)	4306383	Мер(7804) Аль(9428) Хор(9428) Оли(10154) Каи(11064)		https://www.hero-wars.com?replay_id=1777172922827931934	
26/04 06:07	160	18	61882177	Rom	920529	Аль(155) Фаф(109) ЛаК(212) Себ(192) Чер(76) Лир(178)	807495	Мар(6484) Век(6894) Аль(9428) Бис(6894) Оли(10154)		https://www.hero-wars.com?replay_id=1777172862307145533	
26/04 06:05	160	18	61882177	Rom	888604	Аль(155) Фла(134) Кас(178) Хай(63) Кри(200) Эле(160)	2432524	Акс(7804) Мер(7804) Аль(9428) Хор(9428) Оли(10154)		https://www.hero-wars.com?replay_id=1777172727238309329	
26/04 06:00	160	18	61882154	Виларт	1053491	Аль(139) Дже(140) К'А(205) Исм(200) Лир(184) Аст(185)	258225	Каи(4773) Век(9498) Оли(6066) Бис(7158) Акс(11064)		https://www.hero-wars.com?replay_id=1777172446156814671	
26/04 05:58	160	18	61882154	Виларт	991366	Акс(182) Без(147) Фла(149) Йор(163) Ами(161) Сат(189)	99912	Мер(5956) Хор(10154) Оли(6066) Бис(7158) Акс(11064)		https://www.hero-wars.com?replay_id=1777172337493716712	
26/04 05:57	160	18	61882154	Виларт	941031	Акс(182) Фаф(129) ЛаК(200) Себ(186) Айз(157) Гус(87)	2707049	Мар(4773) Век(9498) Аль(7868) Акс(11064) Оли(6066)		https://www.hero-wars.com?replay_id=1777172233842339428	
26/04 05:53	160	18	61882154	Виларт	972118	Акс(182) Баб(143) Дор(86) Авг(181) Ори(191) Неб(189)	24349963	Оли(6066) Мер(5956) Аль(7868) Хор(10154) Каи(4773)		https://www.hero-wars.com?replay_id=1777172015348387255	
26/04 05:50	160	18	61882154	Виларт	584848	Акс(182) Эйд(152) Бир(113) Мор(45) Муш(44) Крв(49)	780446	Мер(5956) Хор(10154) Акс(11064) Оли(6066) Аль(7868)		https://www.hero-wars.com?replay_id=1777171824448432827	
26/04 01:02	160	18	61882267	Player(61882267)	1082215	Аль(172) Баб(123) Дор(195) Авг(193) Ори(203) Неб(197)	38667252	Оли(6894) Акс(10154) Аль(10154) Хор(11064) Каи(9428)		https://www.hero-wars.com?replay_id=1777154532707431127	
26/04 01:01	160	18	61882267	Player(61882267)	1064942	Мер(182) Лар(182) Кас(186) Кри(209) Эле(187) Авр(119)	2119377	Мар(5956) Хор(11064) Мер(11064) Акс(10154) Оли(6894)		https://www.hero-wars.com?replay_id=1777154463180144176	
26/04 00:59	160	18	61882267	Player(61882267)	1126089	Аль(172) Хай(178) Джу(194) Сел(186) Чер(198) Исм(198)	7063439	Аль(10154) Век(6329) Мер(11064) Бис(10154) Фен(6894)		https://www.hero-wars.com?replay_id=1777154366084921597	
26/04 00:57	160	18	61882267	Player(61882267)	1038340	Аль(172) Фаф(121) ЛаК(177) Себ(196) Айз(190) Лир(182)	1379668	Мар(5956) Век(6329) Аль(10154) Акс(10154) Оли(6894)		https://www.hero-wars.com?replay_id=1777154224284028761	
26/04 00:55	160	18	61882267	Player(61882267)	1017864	Аль(172) Эйд(191) Фла(183) Гал(165) Аст(192) Руф(115)	4445431	Мер(11064) Хор(11064) Аль(10154) Оли(6894) Бис(10154)		https://www.hero-wars.com?replay_id=1777154101513441524	
26/04 00:21	160	18	62092872	MEDVED	1022358	Аль(182) Фаф(131) ЛаК(212) Йор(122) Дан(200) Гал(176)	1269968	Мар(6622) Век(11064) Акс(11064) Каи(11064) Оли(11064)		https://www.hero-wars.com?replay_id=1777152076550478962	
26/04 00:19	160	18	62092872	MEDVED	1074548	Аль(182) Хай(139) Ами(200) Сел(173) Лир(179) Авр(202)	6445089	Аль(11064) Акс(11064) Бис(11064) Оли(11064) Каи(11064)		https://www.hero-wars.com?replay_id=1777151999358113326	
26/04 00:17	160	18	62092872	MEDVED	1025832	Акс(168) Баб(154) Дор(127) Авг(184) Ори(192) Неб(202)	5246344	Оли(11064) Мер(5417) Аль(11064) Акс(11064) Каи(11064)		https://www.hero-wars.com?replay_id=1777151879983416286	
26/04 00:15	160	18	62092872	MEDVED	1058841	Аль(182) Крн(193) Себ(203) Айз(178) Чер(149) Три(153)	35506850	Бис(11064) Аль(11064) Акс(11064) Оли(11064) Фен(6484)		https://www.hero-wars.com?replay_id=1777151723702014606	
25/04 18:52	160	18	61882137	G_G	1067409	Акс(159) Баб(145) Дор(174) Авг(188) Ори(200) Неб(201)	26515592	 ###  Акс(9804) Аль(11064) Мер(7396) Каи(9428)		https://www.hero-wars.com?replay_id=1777132372012611077	
25/04 16:04	160	18	61882177	Rom	843534	Мер(128) Баб(113) Дор(49) Авг(167) Ори(185) Неб(200)	18844659	Оли(10154) Акс(7804) Аль(9428) Мер(7804) Каи(11064)		https://www.hero-wars.com?replay_id=1777122283842284979	
25/04 15:59	160	18	61991077	3ve	1057027	Аль(182) Баб(163) Дор(136) Авг(192) Ори(194) Неб(191)	37420230	Оли(9428) Акс(9428) Аль(11064) Мар(9428) Каи(6074)		https://www.hero-wars.com?replay_id=1777121951763664508	
25/04 15:08	150	18	62084554	VIKTOR	941421	Аль(182) Фаф(155) ЛаК(213) Кри(128) Ара(95) Аст(168)	1399064	Оли(8518) Фен(8518) Хор(11064) Аль(11064) Акс(9428)		https://www.hero-wars.com?replay_id=1777118897062991959	
25/04 15:07	150	18	62084554	VIKTOR	904848	Аль(182) Бир(116) Джу(175) Айз(151) Сел(142) Чер(138)	6206704	Хор(11064) Аль(11064) Акс(9428) Бис(8382) Фен(8518)		https://www.hero-wars.com?replay_id=1777118842308211388	
25/04 15:04	150	18	62084554	VIKTOR	925301	Аль(182) Эйд(159) Фла(173) Кас(120) Йор(119) Эле(173)	3670580	Аль(11064) Хор(11064) Бис(8382) Оли(8518) Акс(9428)		https://www.hero-wars.com?replay_id=1777118661924383487	
25/04 15:02	150	18	62084554	VIKTOR	1101432	Аль(182) Себ(174) Исм(194) Три(169) Лир(184) Гал(199)	10866673	Аль(11064) Мар(7804) Фен(8518) Оли(8518) Бис(8382)		https://www.hero-wars.com?replay_id=1777118578375020202	
25/04 14:57	150	18	62084554	VIKTOR	1059845	Мер(118) Баб(157) Дор(191) Авг(194) Ори(201) Неб(198)	35905022	Оли(8518) Мер(6894) Аль(11064) Акс(9428) Каи(9428)		https://www.hero-wars.com?replay_id=1777118247753871041	
25/04 13:22	150	18	61991077	3ve	766251	Аль(182) Айр(130) Йор(107) Айз(176) Гус(79) Исм(93)	3708791	Аль(11064) Оли(9428) Мар(9428) Хор(9428) Фен(9428)		https://www.hero-wars.com?replay_id=1777112559582892414	
25/04 13:20	150	18	61991077	3ve	951519	Аль(182) Тея(96) Джу(181) Кри(169) Тес(154) Авр(170)	5536564	Мар(9428) Аль(11064) Хор(9428) Фен(9428) Оли(9428)		https://www.hero-wars.com?replay_id=1777112418825015523	
25/04 13:08	150	18	61991077	3ve	1076654	Аль(182) Фла(171) Кас(154) Хай(194) Дан(192) Эле(184)	11031401	Акс(9428) Хор(9428) Аль(11064) Фен(9428) Оли(9428)		https://www.hero-wars.com?replay_id=1777111703218923007	
25/04 13:06	150	18	61991077	3ve	1083397	Хор(155) Эйд(157) ЛаК(219) Себ(179) Ясм(190) Лир(185)	2869182	Хор(9428) Век(6950) Аль(11064) Каи(6074) Оли(9428)		https://www.hero-wars.com?replay_id=1777111582883773153	
25/04 10:16	150	18	61882212	Оди	1112694	Аль(182) Тея(194) Кас(184) Хай(204) Ами(198) Эле(151)	13896582	Мер(10630) Бис(7859) Аль(11064) Акс(11064) Оли(11064)		https://www.hero-wars.com?replay_id=1777101373286823307	
25/04 10:14	150	18	61882212	Оди	1152527	Аль(182) Фаф(195) ЛаК(214) Джу(178) Цин(195) Руф(189)	1641817	Мар(11064) Век(11064) Аль(11064) Фен(7804) Оли(11064)		https://www.hero-wars.com?replay_id=1777101250267761259	
25/04 10:12	150	18	61882212	Оди	1072562	Аль(182) Себ(198) Айз(178) Чер(131) Исм(201) Лир(183)	1880185	Аль(11064) Акс(11064) Оли(11064) Фен(7804) Бис(7859)		https://www.hero-wars.com?replay_id=1777101155034764001	
