date time	level	week	attacker id	att name	att power	att team	damage	attacker patronage	comment	replay
09/08 23:44	160	32	62044999	Пунь Пунь	1084173	Аль(182) Ада(149) Джу(175) Ясм(201) Лир(183) Аст(194)	2937440	Век(11064) Аль(11064) Фен(10154) Бис(5197) Оли(10800)		https://www.hero-wars.com?replay_id=1786308263561168746	
09/08 23:39	160	32	62044999	Пунь Пунь	1157080	Аль(182) Фла(189) Хай(205) Ами(198) Сел(198) Эле(185)	24075306	Хор(11064) Аль(11064) Акс(7532) Мер(9596) Оли(10800)		https://www.hero-wars.com?replay_id=1786307986601940920	
09/08 23:36	160	32	62044999	Пунь Пунь	709771	Мер(156) Дор(82) Авг(185) Ори(202) Юли(43) Чаб(43)	34055171	Акс(7532) Аль(11064) Мер(9596) Оли(10800) Фен(10154)		https://www.hero-wars.com?replay_id=1786307763085832225	
09/08 23:32	160	32	62044999	Пунь Пунь	1111616	Аль(182) Баб(146) ЛаК(207) Себ(202) Неб(204) Айз(171)	407409424	 ###  Фен(10154) Аль(11064) Каи(11064) Оли(10800)		https://www.hero-wars.com?replay_id=1786307521717191826	
09/08 23:13	160	32	62084537	Фартовый	1135339	Аль(182) Баб(175) Крн(195) Себ(203) Неб(204) Айз(177)	886214909	Акс(11064) Бис(10154) Аль(11064) Каи(10154) Оли(11064)		https://www.hero-wars.com?replay_id=1786306428608774078	
09/08 23:07	160	32	62084540	SVAROG	1141519	Аль(182) Баб(178) Крн(195) Себ(203) Неб(205) Айз(178)	814186221	Акс(11064) Бис(11064) Аль(11064) Каи(11064) Оли(11064)		https://www.hero-wars.com?replay_id=1786306044108724724	
09/08 23:03	160	32	61869137	ToriOry	1058598	Аль(182) Эйд(182) ЛаК(218) Бир(160) Гус(164) Крв(152)	32556250	Хор(11064) Век(8518) Мер(11064) Акс(11064) Аль(11064)		https://www.hero-wars.com?replay_id=1786305819439502627	
09/08 22:55	160	32	61869137	ToriOry	953533	Акс(182) Дже(148) Ада(155) Джу(184) Сат(103) Чер(182)	2935979	Каи(11064) Век(8518) Аль(11064) Мер(11064) Оли(9680)		https://www.hero-wars.com?replay_id=1786305312756550003	
09/08 22:48	160	32	62044906	ГошаПукаетВкозу	1113207	Аль(182) Ада(158) Дан(205) Лир(188) Аст(196) Юли(184)	1201148	Фен(9470) Каи(11064) Оли(11064) Акс(11064) Бис(6894)		https://www.hero-wars.com?replay_id=1786304904283310548	
09/08 22:43	160	32	62044906	ГошаПукаетВкозу	792056	Аль(182) Эйд(180) Бир(76) Исм(205) Муш(84) Крв(65)	1188234	Аль(11064) Мер(6484) Фен(9470) Оли(11064) Бис(6894)		https://www.hero-wars.com?replay_id=1786304606023612424	
09/08 22:39	160	32	62044906	ГошаПукаетВкозу	665589	Мер(103) Дор(84) Авг(195) Ори(200) Лют(39) Чаб(44)	25642639	Акс(11064) Аль(11064) Мер(6484) Бис(6894) Фен(9470)		https://www.hero-wars.com?replay_id=1786304368823110089	
09/08 22:38	160	32	61869137	ToriOry	931987	Аль(182) Фла(178) Хай(207) Ами(131) Ара(132) Руф(101)	16354062	Бис(6894) Аль(11064) Оли(9680) Мар(6894) Акс(11064)		https://www.hero-wars.com?replay_id=1786304298754701940	
09/08 22:35	160	32	62044906	ГошаПукаетВкозу	1107774	Аль(182) Фла(173) Хай(205) Ами(198) Ара(203) Руф(146)	18940884	Акс(11064) Аль(11064) Оли(11064) Мар(6484) Бис(6894)		https://www.hero-wars.com?replay_id=1786304125750287076	
09/08 22:31	160	32	62044906	ГошаПукаетВкозу	1150404	Аль(182) Баб(158) ЛаК(213) Себ(202) Неб(204) Айз(193)	465432802	Акс(11064) Фен(9470) Аль(11064) Каи(11064) Оли(11064)		https://www.hero-wars.com?replay_id=1786303876519422439	
09/08 22:03	160	32	61869137	ToriOry	1088260	Мер(182) Дор(187) Авг(191) Ори(207) Мод(111) Кри(210)	45059621	Акс(11064) Аль(11064) Мер(11064) Мар(6894) Бис(6894)		https://www.hero-wars.com?replay_id=1786302187988869434	
09/08 21:31	160	32	61882156	3.14_ZDETS	1074631	Акс(182) Ада(162) Дан(202) Цин(138) Три(195) Гал(197)	4833546	Век(11064) Каи(11064)  ###  Фен(11064) Аль(11064)		https://www.hero-wars.com?replay_id=1786300287239436612	
09/08 21:21	160	32	61882156	3.14_ZDETS	1080102	Аль(182) Фла(167) Йор(167) Хай(184) Ами(198) Эле(182)	8552633	Хор(11064) Акс(11064) Аль(11064) Оли(11064) Мер(11064)		https://www.hero-wars.com?replay_id=1786299716458555275	
09/08 21:10	160	32	61882156	3.14_ZDETS	971921	Аль(182) Дор(142) Авг(192) Ори(204) Сел(159) Авр(93)	433208	 ###  Аль(11064) Акс(11064) Хор(11064) Мер(11064)		https://www.hero-wars.com?replay_id=1786299025380628472	
09/08 21:06	160	32	61882156	3.14_ZDETS	960941	Акс(182) Эйд(182) Бир(144) Джу(197) Лир(194) Крв(62)	2372131	Хор(11064) Мер(11064) Фен(11064) Оли(11064) Аль(11064)		https://www.hero-wars.com?replay_id=1786298769283824864	
09/08 20:55	160	32	61882156	3.14_ZDETS	1165159	Аль(182) Баб(177) ЛаК(207) Себ(202) Неб(204) Айз(194)	86512495	Акс(11064) Фен(11064) Аль(11064) Каи(11064) Оли(11064)		https://www.hero-wars.com?replay_id=1786298128501193836	
09/08 19:55	160	32	61991077	3ve	1121509	Аль(182) Баб(164) ЛаК(222) Себ(180) Неб(195) Айз(178)	43968891	Акс(9428) Век(9428) Аль(11064) Каи(8108) Оли(9428)		https://www.hero-wars.com?replay_id=1786294543427506493	
09/08 19:54	160	32	61991077	3ve	1131851	Аль(182) Авг(194) Ори(195) Фла(184) Кас(189) Эле(188)	3540781	Аль(11064) Мар(9428) Хор(9428) Мер(9439) Бис(8518)		https://www.hero-wars.com?replay_id=1786294492922393650	
09/08 18:28	160	32	61882250	Kamul27rus	1107590	Аль(182) Фла(190) Кас(177) Дан(181) Чер(192) Эле(187)	8154530	Акс(11064) Мер(11064) Каи(9018) Оли(9456) Бис(6676)		https://www.hero-wars.com?replay_id=1786289339654236194	
09/08 18:26	160	32	61882250	Kamul27rus	1092264	Аль(182) Тея(191) Гус(109) Ясм(203) Исм(207) Гал(200)	13446422	Мер(11064) Акс(11064) Каи(9018) Оли(9456) Аль(11064)		https://www.hero-wars.com?replay_id=1786289174505616478	
09/08 18:23	160	32	61882250	Kamul27rus	1034687	Аль(182) Эйд(174) Бир(133) Джу(161) Лир(190) Крв(195)	50611852	Хор(8875) Мер(11064) Век(8534) Фен(7966) Аль(11064)		https://www.hero-wars.com?replay_id=1786289028598867118	
09/08 18:21	160	32	61882250	Kamul27rus	770165	Мер(182) Пол(101) Дор(59) Авг(191) Ори(200) Лют(38)	48626234	Хор(8875) Акс(11064) Аль(11064) Мер(11064) Оли(9456)		https://www.hero-wars.com?replay_id=1786288892459489760	
09/08 17:08	160	32	62082395	Винни	717227	Акс(182) Гел(101) Кас(114) Бир(109) Цин(94) Гал(118)	90569	Мер(7804) Акс(11064) Хор(11064) Фен(9428) Аль(10154)		https://www.hero-wars.com?replay_id=1786284521536998650	
09/08 17:05	160	32	62082395	Винни	1005988	Акс(182) Эйд(135) Ада(140) Йор(181) Ами(165) Исм(202)	138141	Хор(11064) Каи(8108) Акс(11064) Оли(10154) Фен(9428)		https://www.hero-wars.com?replay_id=1786284339320231962	
09/08 17:01	160	32	61882267	ZOV	1140803	Аль(182) Баб(153) ЛаК(217) Себ(198) Неб(198) Айз(191)	31554931	Акс(10154) Век(9428) Аль(11064) Каи(9428) Оли(9428)		https://www.hero-wars.com?replay_id=1786284079406067946	
09/08 16:42	160	32	62082395	Винни	1032895	Акс(182) ЛаК(157) Гус(133) Ясм(178) Лир(186) Аст(197)	2362109	Век(6220) Акс(11064) Аль(10154) Фен(9428) Оли(10154)		https://www.hero-wars.com?replay_id=1786282933220638451	
09/08 16:35	160	32	61882233	2 718	857147	Акс(155) Фла(155) Кас(140) Йор(145) Сат(151) Руф(112)	1566798	Акс(9428) Мер(7818) Оли(8518) Хор(8518) Аль(8686)		https://www.hero-wars.com?replay_id=1786282541726239497	
09/08 16:26	160	32	61882233	2 718	1013214	Акс(155) Баб(136) ЛаК(193) Себ(183) Неб(175) Айз(171)	129429055	Акс(9428) Век(5037) Аль(8686) Каи(6030) Оли(8518)		https://www.hero-wars.com?replay_id=1786281993067988432	
09/08 16:25	160	32	61882233	2 718	728451	Аль(146) Эйд(147) Бир(104) Гус(111) Муш(106) Крв(114)	3118674	Хор(8518) Мер(7818) Фен(8574) Акс(9428) Аль(8686)		https://www.hero-wars.com?replay_id=1786281913731653636	
09/08 16:21	160	32	61882233	2 718	733620	Мер(128) Дор(88) Авг(178) Ори(193) Сел(76) Аст(70)	43354529	Мер(7818) Аль(8686) Хор(8518) Акс(9428) Оли(8518)		https://www.hero-wars.com?replay_id=1786281669152131615	
09/08 16:17	160	32	61882267	ZOV	1009862	Акс(172) Тея(190) Дже(82) Хай(180) Сел(189) Гал(196)	5420713	Мер(11064) Оли(9428) Каи(9428) Акс(10154) Аль(11064)		https://www.hero-wars.com?replay_id=1786281431577881112	
09/08 16:15	160	32	61882267	ZOV	1093367	Мер(182) Дор(198) Авг(194) Ори(203) Фла(186) Ара(131)	8955646	Мер(11064) Аль(11064) Хор(11064) Акс(10154) Мар(8518)		https://www.hero-wars.com?replay_id=1786281302846188335	
09/08 16:13	160	32	61882267	ZOV	1028000	Аль(182) Джу(198) Дан(210) К'А(119) Аст(197) Руф(121)	3007800	Аль(11064) Каи(9428) Век(9428) Акс(10154) Оли(9428)		https://www.hero-wars.com?replay_id=1786281217790188082	
