date time	level	week	attacker id	att name	att power	att team	damage	attacker patronage	comment	replay
26/07 17:13	160	30	62138500	Diablo	1095300	Аль(182) Баб(142) Крн(190) Себ(202) Неб(205) Айз(175)	615077825	 ###  Акс(11064) Аль(11064) Каи(11064) Оли(11064)		https://www.hero-wars.com?replay_id=1785075214303174026	
24/07 15:01	160	30	61883387	FEDOR	1092346	Аль(156) Баб(151) ЛаК(213) Себ(193) Неб(202) Айз(177)	535309654	Акс(11064) Век(9018) Аль(9692) Каи(11064) Оли(9428)		https://www.hero-wars.com?replay_id=1784894466343796741	
26/07 17:53	160	30	61882250	Kamul27rus	1144570	Аль(182) Баб(182) ЛаК(202) Себ(198) Неб(198) Айз(183)	506421098	Акс(11064) Век(8534) Аль(11064) Каи(9018) Оли(9456)		https://www.hero-wars.com?replay_id=1785077605391090681	
25/07 17:51	160	30	62138549	YaElf	1165651	Аль(182) Баб(180) ЛаК(222) Себ(198) Неб(199) Айз(185)	469680173	 ###  Век(10154) Аль(11064) Каи(9579) Оли(11064)		https://www.hero-wars.com?replay_id=1784991119967337274	
26/07 10:20	160	30	62157195	rednaZ	1140400	Аль(172) Баб(167) ЛаК(220) Себ(197) Неб(200) Айз(183)	464649931	Акс(11064) Век(10154) Аль(10154) Каи(6894) Оли(10154)		https://www.hero-wars.com?replay_id=1785050431115801151	
26/07 18:31	160	30	61882246	Nergal	1148035	Аль(182) Баб(195) ЛаК(197) Себ(198) Неб(195) Айз(182)	402083097	Акс(11064) Век(11064) Аль(11064) Каи(6063) Оли(8134)		https://www.hero-wars.com?replay_id=1785079863490960552	
26/07 12:52	160	30	61882156	3.14_ZDETS	1155011	Аль(182) Баб(170) ЛаК(209) Себ(200) Неб(202) Айз(192)	384452037	Акс(11064) Век(11064) Аль(11064) Каи(11064) Оли(11064)		https://www.hero-wars.com?replay_id=1785059574238434082	
24/07 13:38	160	30	62160428	Joker	1187257	Аль(182) Баб(185) ЛаК(224) Себ(200) Неб(202) Айз(194)	383003498	 ###  Век(11064) Аль(11064) Каи(11064) Оли(11064)		https://www.hero-wars.com?replay_id=1784889531666601845	
25/07 12:20	160	30	62155801	Dobraia Feя	1077799	Аль(182) Баб(151) Себ(203) Неб(195) Джу(163) Айз(183)	346614998	Акс(11064) Аль(11064) Каи(4198) Век(4773) Оли(4773)		https://www.hero-wars.com?replay_id=1784971235813790712	
26/07 00:08	160	30	61882267	ZOV	1127543	Аль(172) Баб(152) ЛаК(216) Себ(198) Неб(198) Айз(191)	302515049	Акс(10154) Век(9428) Аль(10154) Каи(9428) Оли(9428)		https://www.hero-wars.com?replay_id=1785013690686507239	
24/07 14:51	160	30	61882177	Rom	1044241	Аль(155) Баб(114) ЛаК(218) Себ(193) Неб(200) Айз(164)	299046396	Акс(9428) Век(8518) Аль(9428) Каи(11064) Оли(11064)		https://www.hero-wars.com?replay_id=1784893909264464537	
25/07 22:38	160	30	62092872	MEDVED	1138862	Аль(182) Баб(146) ЛаК(217) Себ(203) Неб(205) Айз(185)	218445863	 ###  Век(11064) Аль(11064) Каи(11064) Оли(11064)		https://www.hero-wars.com?replay_id=1785008282775732354	
26/07 12:37	160	30	61882137	G_G	1113422	Аль(182) Баб(145) ЛаК(215) Себ(202) Неб(202) Айз(168)	210246689	 ###  Фен(9439) Аль(11064) Каи(9456) Оли(9428)		https://www.hero-wars.com?replay_id=1785058624045602376	
25/07 12:02	160	30	61958839	Бальдр	1149678	Аль(182) Баб(182) Себ(203) Неб(201) Джу(201) Айз(182)	204965108	 ###  Аль(11064) Каи(11064) Век(11064) Оли(11064)		https://www.hero-wars.com?replay_id=1784970135182123528	
24/07 22:35	160	30	61882142	B.i.G	1105936	Аль(182) Баб(164) ЛаК(205) Себ(188) Неб(190) Айз(177)	161269813	Акс(9692) Век(9428) Аль(11064) Каи(7804) Оли(11064)		https://www.hero-wars.com?replay_id=1784921746684989075	
24/07 05:15	150	30	62138500	Diablo	1168140	Акс(182) Дже(192) Ада(187) Хай(207) Джу(194) Сат(206)	158219386	Оли(11064) Каи(11064) Акс(11064) Аль(11064) Мер(11064)		https://www.hero-wars.com?replay_id=1784859322585016169	
26/07 08:43	160	30	61882168	Тема	1023035	Аль(155) Баб(158) ЛаК(192) Себ(181) Неб(194) Айз(144)	138616095	 ###  Век(4623) Аль(9428) Каи(9428) Оли(9890)		https://www.hero-wars.com?replay_id=1785044581933339494	
25/07 20:46	160	30	62044906	ГошаПукаетВкозу	1090754	Акс(182) Баб(104) ЛаК(212) Себ(200) Неб(202) Айз(190)	132435335	 ###  Фен(9470) Аль(11064) Каи(11064) Оли(11064)		https://www.hero-wars.com?replay_id=1785001565687639053	
24/07 21:33	160	30	62082395	Винни	1031383	Аль(172) Баб(127) Себ(197) Неб(190) Джу(168) Айз(178)	122228160	 ###  Аль(10154) Каи(7268) Век(5766) Оли(10154)		https://www.hero-wars.com?replay_id=1784918023668107240	
26/07 16:16	160	30	61882154	Виларт	1093640	Аль(182) Баб(135) ЛаК(204) Себ(193) Неб(191) Айз(187)	83911651	 ###  Век(9498) Аль(11064) Каи(4773) Оли(6132)		https://www.hero-wars.com?replay_id=1785071794636762592	
24/07 05:11	150	30	62138500	Diablo	1208139	Аль(182) ЛаК(224) Ясм(200) Три(204) Лир(191) Гал(206)	69685758	Век(11064) Аль(11064) Фен(11064) Бис(11064) Оли(11064)		https://www.hero-wars.com?replay_id=1784859068097743035	
24/07 07:50	150	30	62160428	Joker	910229	Аль(182) Крн(179) Ада(122) Три(152) Лир(191) Гал(85)	64421632	Бис(11064) Каи(11064) Фен(11064) Оли(11064) Аль(11064)		https://www.hero-wars.com?replay_id=1784868655169044706	
25/07 18:17	160	30	62138549	YaElf	1116000	Аль(182) Эйд(189) Бир(168) Джу(199) Лир(183) Крв(196)	64317421	Хор(9484) Мер(7104) Век(10154) Фен(7021) Аль(11064)		https://www.hero-wars.com?replay_id=1784992652508101754	
26/07 18:00	160	30	61882250	Kamul27rus	830476	Мер(182) Дор(59) Авг(185) Ори(200) Кас(161) К'А(45)	61593695	Акс(11064) Аль(11064) Мер(11064) Хор(8710) Фен(7966)		https://www.hero-wars.com?replay_id=1785078021982532843	
26/07 17:10	160	30	62138500	Diablo	1137995	Аль(182) Эйд(194) Бир(181) Гус(179) Муш(201) Крв(201)	59778964	Хор(11064) Мер(11064) Акс(11064) Оли(11064) Аль(11064)		https://www.hero-wars.com?replay_id=1785075001921470925	
26/07 19:22	160	30	61882156	3.14_ZDETS	793481	Мер(174) Дор(153) Авг(192) Ори(204) Руф(35) Лют(36)	56190448	Акс(11064) Аль(11064) Мер(11064) Оли(11064) Фен(11064)		https://www.hero-wars.com?replay_id=1785082949472445343	
26/07 16:54	160	30	62138500	Diablo	1071368	Мер(182) Дор(122) Авг(194) Ори(206) Мод(163) Кри(204)	55927827	Акс(11064) Аль(11064) Мер(11064) Мар(11064) Бис(11064)		https://www.hero-wars.com?replay_id=1785074083327382810	
26/07 18:40	160	30	61882246	Nergal	801289	Мер(182) Дор(45) Авг(191) Ори(200) Кас(134) Эль(49)	53505037	 ###  Аль(11064) Мер(11064) Акс(11064) Век(11064)		https://www.hero-wars.com?replay_id=1785080451641480501	
26/07 12:44	160	30	61882137	G_G	1083192	Акс(175) Фаф(165) Эйд(181) Ада(181) Джу(193) Юли(188)	53170605	Мар(6622) Хор(9817) Каи(9456) Аль(11064) Оли(9428)		https://www.hero-wars.com?replay_id=1785059097025612895	
25/07 17:55	160	30	62138549	YaElf	972700	Мер(121) Дор(149) Авг(188) Ори(201) Руф(148) Тес(166)	50583301	 ###  Аль(11064) Мер(7104) Оли(11064) Бис(9428)		https://www.hero-wars.com?replay_id=1784991345213156221	
24/07 13:42	160	30	62160428	Joker	898462	Мер(182) Дор(192) Авг(194) Ори(203) Мод(60) Сат(68)	49534890	Мер(11064) Аль(11064) Акс(11064) Хор(11064) Бис(11064)		https://www.hero-wars.com?replay_id=1784889752473497298	
26/07 12:41	160	30	61882137	G_G	851321	Акс(175) Дор(174) Авг(188) Ори(202) Аль(57) Муш(54)	44507332	Акс(9874) Аль(11064) Мер(9762) Бис(8518) Оли(9428)		https://www.hero-wars.com?replay_id=1785058878304783610	
